glass_name,filter_mode,property_mode,matched_sciglass_id,distance,predicted_composition,composition_std,glass_family,composition_completeness,physically_plausible,recon_method,n_neighbors_used,composition_exp_weight,composition_idw,composition_cluster_kmeans,scenario
SF57,adaptive,B,190500000726,0.01394635641523577,SIO2=31.51; B2O3=14.38; CAO=0.60; K2O=2.50; NA2O=3.89; PBO=20.12; Li2O=2.46; MgO=0.99; BAO=10.03; ZNO=0.66; TIO2=2.01; RO=32.40; R2O=8.85; R2O3=24.35; RO2=2.23; RmOn=100.00,"{""SIO2"": 20.95, ""AL2O3"": 0.0, ""B2O3"": 13.455, ""CAO"": 2.236, ""K2O"": 2.176, ""NA2O"": 3.523, ""PBO"": 21.918, ""Li2O"": 2.502, ""MgO"": 3.754, ""SRO"": 0.0, ""BAO"": 10.656, ""ZNO"": 2.246, ""P2O5"": 0.0, ""GEO2"": 0.0, ""ZRO2"": 1.196, ""TIO2"": 2.8, ""TEO2"": 0.0, ""RO"": 11.002, ""FemOn"": 0.0, ""R2O"": 7.239, ""R2O3"": 22.492, ""RO2"": 2.801, ""RO3"": 0.444, ""RO4"": 0.0, ""R2O5"": 0.888, ""RF"": 0.0, ""RF2"": 0.0, ""RF3"": 0.0, ""RF4"": 0.0, ""RF5"": 0.0, ""RHal"": 0.0, ""RHal2"": 0.0, ""RHal3"": 0.0, ""RHal4"": 0.0, ""RHal5"": 0.0, ""RHaln"": 0.0, ""RmOn"": 0.0, ""RmNn"": 0.0}",uncertain,1.0,False,idw,20,SIO2=30.20; B2O3=15.15; CAO=0.62; K2O=2.61; NA2O=4.11; PBO=18.85; Li2O=2.59; MgO=0.99; BAO=10.67; ZNO=0.69; TIO2=2.07; RO=31.82; R2O=9.31; R2O3=25.65; RO2=2.33; RmOn=100.00,SIO2=31.51; B2O3=14.38; CAO=0.60; K2O=2.50; NA2O=3.89; PBO=20.12; Li2O=2.46; MgO=0.99; BAO=10.03; ZNO=0.66; TIO2=2.01; RO=32.40; R2O=8.85; R2O3=24.35; RO2=2.23; RmOn=100.00,SIO2=54.27; K2O=0.61; NA2O=0.56; PBO=43.72; RO=43.86; R2O=1.17; RmOn=100.00,adaptive_B
SF57HTultra,adaptive,B,190500000726,0.01394635641523577,SIO2=31.51; B2O3=14.38; CAO=0.60; K2O=2.50; NA2O=3.89; PBO=20.12; Li2O=2.46; MgO=0.99; BAO=10.03; ZNO=0.66; TIO2=2.01; RO=32.40; R2O=8.85; R2O3=24.35; RO2=2.23; RmOn=100.00,"{""SIO2"": 20.95, ""AL2O3"": 0.0, ""B2O3"": 13.455, ""CAO"": 2.236, ""K2O"": 2.176, ""NA2O"": 3.523, ""PBO"": 21.918, ""Li2O"": 2.502, ""MgO"": 3.754, ""SRO"": 0.0, ""BAO"": 10.656, ""ZNO"": 2.246, ""P2O5"": 0.0, ""GEO2"": 0.0, ""ZRO2"": 1.196, ""TIO2"": 2.8, ""TEO2"": 0.0, ""RO"": 11.002, ""FemOn"": 0.0, ""R2O"": 7.239, ""R2O3"": 22.492, ""RO2"": 2.801, ""RO3"": 0.444, ""RO4"": 0.0, ""R2O5"": 0.888, ""RF"": 0.0, ""RF2"": 0.0, ""RF3"": 0.0, ""RF4"": 0.0, ""RF5"": 0.0, ""RHal"": 0.0, ""RHal2"": 0.0, ""RHal3"": 0.0, ""RHal4"": 0.0, ""RHal5"": 0.0, ""RHaln"": 0.0, ""RmOn"": 0.0, ""RmNn"": 0.0}",uncertain,1.0,False,idw,20,SIO2=30.20; B2O3=15.15; CAO=0.62; K2O=2.61; NA2O=4.11; PBO=18.85; Li2O=2.59; MgO=0.99; BAO=10.67; ZNO=0.69; TIO2=2.07; RO=31.82; R2O=9.31; R2O3=25.65; RO2=2.33; RmOn=100.00,SIO2=31.51; B2O3=14.38; CAO=0.60; K2O=2.50; NA2O=3.89; PBO=20.12; Li2O=2.46; MgO=0.99; BAO=10.03; ZNO=0.66; TIO2=2.01; RO=32.40; R2O=8.85; R2O3=24.35; RO2=2.23; RmOn=100.00,SIO2=54.27; K2O=0.61; NA2O=0.56; PBO=43.72; RO=43.86; R2O=1.17; RmOn=100.00,adaptive_B
N-LASF41,adaptive,B,2756100361833,0.02053765862055273,SIO2=6.43; B2O3=48.81; BAO=0.52; ZNO=7.76; ZRO2=7.30; RO=8.28; R2O3=72.59; RO2=8.07; R2O5=4.18; RmOn=100.00,"{""SIO2"": 10.193, ""AL2O3"": 0.0, ""B2O3"": 10.492, ""CAO"": 0.0, ""K2O"": 0.0, ""NA2O"": 0.0, ""PBO"": 0.0, ""Li2O"": 1.253, ""MgO"": 0.0, ""SRO"": 0.0, ""BAO"": 4.472, ""ZNO"": 3.62, ""P2O5"": 0.0, ""GEO2"": 0.0, ""ZRO2"": 2.493, ""TIO2"": 2.236, ""TEO2"": 0.0, ""RO"": 4.15, ""FemOn"": 0.0, ""R2O"": 1.253, ""R2O3"": 12.737, ""RO2"": 2.482, ""RO3"": 0.196, ""RO4"": 0.0, ""R2O5"": 1.638, ""RF"": 0.0, ""RF2"": 0.0, ""RF3"": 0.0, ""RF4"": 0.0, ""RF5"": 0.0, ""RHal"": 0.0, ""RHal2"": 0.0, ""RHal3"": 0.0, ""RHal4"": 0.0, ""RHal5"": 0.0, ""RHaln"": 0.0, ""RmOn"": 0.0, ""RmNn"": 0.0}",uncertain,1.0,False,idw,20,SIO2=6.85; B2O3=48.34; BAO=0.53; ZNO=7.80; ZRO2=7.23; RO=8.33; R2O3=72.11; RO2=8.05; R2O5=4.18; RmOn=100.00,SIO2=6.43; B2O3=48.81; BAO=0.52; ZNO=7.76; ZRO2=7.30; RO=8.28; R2O3=72.59; RO2=8.07; R2O5=4.18; RmOn=100.00,SIO2=3.99; B2O3=51.31; ZNO=7.84; ZRO2=7.38; RO=7.84; R2O3=75.79; RO2=7.94; R2O5=4.14; RmOn=100.00,adaptive_B
N-LASF40,adaptive,B,3735700443246,0.03463681079440785,SIO2=4.86; B2O3=40.38; CAO=1.09; Li2O=1.18; BAO=2.24; ZNO=18.55; ZRO2=2.65; TIO2=4.20; RO=24.53; R2O=1.23; R2O3=53.74; RO2=7.41; RO3=4.16; R2O5=4.06; RmOn=100.00,"{""SIO2"": 5.237, ""AL2O3"": 0.753, ""B2O3"": 8.953, ""CAO"": 1.918, ""K2O"": 0.083, ""NA2O"": 0.098, ""PBO"": 0.0, ""Li2O"": 1.977, ""MgO"": 0.0, ""SRO"": 0.34, ""BAO"": 4.576, ""ZNO"": 8.453, ""P2O5"": 0.0, ""GEO2"": 0.945, ""ZRO2"": 2.105, ""TIO2"": 3.715, ""TEO2"": 0.671, ""RO"": 8.304, ""FemOn"": 0.0, ""R2O"": 1.958, ""R2O3"": 10.229, ""RO2"": 3.076, ""RO3"": 3.116, ""RO4"": 0.0, ""R2O5"": 2.799, ""RF"": 0.0, ""RF2"": 0.0, ""RF3"": 0.0, ""RF4"": 0.0, ""RF5"": 0.0, ""RHal"": 0.0, ""RHal2"": 0.0, ""RHal3"": 0.0, ""RHal4"": 0.0, ""RHal5"": 0.0, ""RHaln"": 0.0, ""RmOn"": 0.0, ""RmNn"": 0.0}",uncertain,1.0,False,idw,20,SIO2=4.97; B2O3=40.32; CAO=1.10; Li2O=1.21; BAO=2.29; ZNO=18.44; ZRO2=2.71; TIO2=4.11; RO=24.54; R2O=1.26; R2O3=53.65; RO2=7.35; RO3=4.07; R2O5=4.15; RmOn=100.00,SIO2=4.86; B2O3=40.38; CAO=1.09; Li2O=1.18; BAO=2.24; ZNO=18.55; ZRO2=2.65; TIO2=4.20; RO=24.53; R2O=1.23; R2O3=53.74; RO2=7.41; RO3=4.16; R2O5=4.06; RmOn=100.00,SIO2=3.87; B2O3=40.26; CAO=1.68; Li2O=0.78; ZNO=20.26; GEO2=0.53; ZRO2=2.99; TIO2=3.84; RO=24.16; R2O=0.87; R2O3=54.26; RO2=7.73; RO3=5.90; R2O5=3.21; RmOn=100.00,adaptive_B
SF6G05,adaptive,B,326300110721,0.01214539985331221,SIO2=41.03; B2O3=6.57; CAO=0.53; K2O=2.85; NA2O=3.28; PBO=27.59; Li2O=2.69; BAO=2.67; ZNO=0.77; P2O5=3.42; TIO2=0.75; RO=31.79; R2O=8.82; R2O3=10.55; RO2=0.98; RO3=1.19; R2O5=5.60; RmOn=99.96,"{""SIO2"": 26.947, ""AL2O3"": 0.136, ""B2O3"": 18.334, ""CAO"": 3.16, ""K2O"": 4.145, ""NA2O"": 8.559, ""PBO"": 19.993, ""Li2O"": 6.742, ""MgO"": 0.0, ""SRO"": 2.236, ""BAO"": 7.787, ""ZNO"": 3.255, ""P2O5"": 10.933, ""GEO2"": 0.856, ""ZRO2"": 0.445, ""TIO2"": 2.3, ""TEO2"": 0.0, ""RO"": 16.344, ""FemOn"": 0.0, ""R2O"": 15.215, ""R2O3"": 27.448, ""RO2"": 2.737, ""RO3"": 3.92, ""RO4"": 0.0, ""R2O5"": 17.826, ""RF"": 0.0, ""RF2"": 0.0, ""RF3"": 0.0, ""RF4"": 0.0, ""RF5"": 0.0, ""RHal"": 0.0, ""RHal2"": 0.0, ""RHal3"": 0.0, ""RHal4"": 0.0, ""RHal5"": 0.0, ""RHaln"": 0.0, ""RmOn"": 0.279, ""RmNn"": 0.0}",uncertain,1.0,False,idw,20,SIO2=35.18; B2O3=8.92; CAO=0.72; K2O=3.30; NA2O=4.21; PBO=23.08; Li2O=3.65; BAO=3.59; ZNO=1.06; P2O5=4.66; TIO2=1.02; RO=28.76; R2O=11.16; R2O3=14.30; RO2=1.34; RO3=1.61; R2O5=7.61; RmOn=99.95,SIO2=41.03; B2O3=6.57; CAO=0.53; K2O=2.85; NA2O=3.28; PBO=27.59; Li2O=2.69; BAO=2.67; ZNO=0.77; P2O5=3.42; TIO2=0.75; RO=31.79; R2O=8.82; R2O3=10.55; RO2=0.98; RO3=1.19; R2O5=5.60; RmOn=99.96,SIO2=57.49; K2O=1.54; NA2O=0.59; PBO=40.13; RO=40.13; R2O=2.12; RmOn=100.00,adaptive_B
N-LASF43,adaptive,B,508400061790,0.018638895396664037,SIO2=14.23; B2O3=29.55; CAO=14.72; Li2O=0.76; BAO=0.99; ZNO=11.63; ZRO2=4.63; RO=27.93; R2O=0.76; R2O3=45.72; RO2=4.91; RO3=1.07; R2O5=5.38; RmOn=100.00,"{""SIO2"": 10.38, ""AL2O3"": 0.279, ""B2O3"": 13.719, ""CAO"": 14.896, ""K2O"": 0.0, ""NA2O"": 0.0, ""PBO"": 0.335, ""Li2O"": 3.453, ""MgO"": 2.321, ""SRO"": 0.975, ""BAO"": 1.221, ""ZNO"": 10.019, ""P2O5"": 0.744, ""GEO2"": 0.0, ""ZRO2"": 1.733, ""TIO2"": 1.625, ""TEO2"": 0.0, ""RO"": 13.235, ""FemOn"": 0.0, ""R2O"": 3.453, ""R2O3"": 19.083, ""RO2"": 1.337, ""RO3"": 1.676, ""RO4"": 0.0, ""R2O5"": 2.207, ""RF"": 0.0, ""RF2"": 0.0, ""RF3"": 0.0, ""RF4"": 0.0, ""RF5"": 0.0, ""RHal"": 0.0, ""RHal2"": 0.0, ""RHal3"": 0.0, ""RHal4"": 0.0, ""RHal5"": 0.0, ""RHaln"": 0.0, ""RmOn"": 0.0, ""RmNn"": 0.0}",uncertain,1.0,False,idw,20,SIO2=12.74; B2O3=30.93; CAO=14.25; Li2O=1.01; BAO=0.74; ZNO=11.22; ZRO2=4.57; RO=26.97; R2O=1.01; R2O3=47.81; RO2=4.94; RO3=1.19; R2O5=5.35; RmOn=100.00,SIO2=14.23; B2O3=29.55; CAO=14.72; Li2O=0.76; BAO=0.99; ZNO=11.63; ZRO2=4.63; RO=27.93; R2O=0.76; R2O3=45.72; RO2=4.91; RO3=1.07; R2O5=5.38; RmOn=100.00,SIO2=21.22; B2O3=19.65; CAO=27.46; MgO=0.57; BAO=0.71; ZNO=8.14; P2O5=0.51; ZRO2=4.74; RO=37.23; R2O3=30.67; RO2=4.87; R2O5=5.93; RmOn=100.00,adaptive_B
P-LASF47,adaptive,B,3137100403552,0.005348329583032153,SIO2=10.09; B2O3=30.88; Li2O=6.57; ZNO=30.74; ZRO2=3.17; RO=30.74; R2O=6.57; R2O3=43.12; RO2=3.28; RO3=2.32; R2O5=3.89; RmOn=100.00,"{""SIO2"": 2.681, ""AL2O3"": 0.433, ""B2O3"": 2.819, ""CAO"": 0.0, ""K2O"": 0.0, ""NA2O"": 0.0, ""PBO"": 0.0, ""Li2O"": 1.197, ""MgO"": 0.0, ""SRO"": 0.0, ""BAO"": 0.0, ""ZNO"": 2.818, ""P2O5"": 0.0, ""GEO2"": 0.5, ""ZRO2"": 1.516, ""TIO2"": 0.0, ""TEO2"": 0.0, ""RO"": 2.818, ""FemOn"": 0.0, ""R2O"": 1.197, ""R2O3"": 3.264, ""RO2"": 1.619, ""RO3"": 1.479, ""RO4"": 0.0, ""R2O5"": 1.355, ""RF"": 0.0, ""RF2"": 0.0, ""RF3"": 0.0, ""RF4"": 0.0, ""RF5"": 0.0, ""RHal"": 0.0, ""RHal2"": 0.0, ""RHal3"": 0.0, ""RHal4"": 0.0, ""RHal5"": 0.0, ""RHaln"": 0.0, ""RmOn"": 0.0, ""RmNn"": 0.0}",uncertain,1.0,False,idw,20,SIO2=9.92; B2O3=31.00; Li2O=6.56; ZNO=30.80; ZRO2=3.16; RO=30.80; R2O=6.56; R2O3=43.21; RO2=3.28; RO3=2.31; R2O5=3.93; RmOn=100.00,SIO2=10.09; B2O3=30.88; Li2O=6.57; ZNO=30.74; ZRO2=3.17; RO=30.74; R2O=6.57; R2O3=43.12; RO2=3.28; RO3=2.32; R2O5=3.89; RmOn=100.00,SIO2=8.75; B2O3=33.17; Li2O=7.25; ZNO=28.64; ZRO2=3.31; RO=28.64; R2O=7.25; R2O3=45.61; RO2=3.52; RO3=1.41; R2O5=4.81; RmOn=100.00,adaptive_B
N-SF6,adaptive,B,3548300426188,0.014740970147822658,SIO2=29.60; B2O3=4.64; CAO=0.96; K2O=4.32; NA2O=14.46; Li2O=1.79; BAO=1.84; P2O5=1.79; GEO2=2.20; ZRO2=0.71; TIO2=27.82; RO=3.52; R2O=22.89; R2O3=4.69; RO2=30.73; R2O5=8.43; RmOn=99.95,"{""SIO2"": 13.161, ""AL2O3"": 0.209, ""B2O3"": 7.137, ""CAO"": 2.958, ""K2O"": 4.299, ""NA2O"": 5.911, ""PBO"": 0.05, ""Li2O"": 1.95, ""MgO"": 1.109, ""SRO"": 0.761, ""BAO"": 2.585, ""ZNO"": 0.0, ""P2O5"": 4.729, ""GEO2"": 2.952, ""ZRO2"": 1.189, ""TIO2"": 5.797, ""TEO2"": 0.0, ""RO"": 5.314, ""FemOn"": 0.0, ""R2O"": 7.768, ""R2O3"": 7.11, ""RO2"": 7.197, ""RO3"": 0.617, ""RO4"": 0.0, ""R2O5"": 5.872, ""RF"": 0.443, ""RF2"": 0.0, ""RF3"": 0.0, ""RF4"": 0.0, ""RF5"": 0.0, ""RHal"": 0.0, ""RHal2"": 0.0, ""RHal3"": 0.0, ""RHal4"": 0.0, ""RHal5"": 0.0, ""RHaln"": 0.443, ""RmOn"": 0.443, ""RmNn"": 0.0}",heavy flint,1.0,False,idw,20,SIO2=29.80; B2O3=3.79; CAO=0.91; K2O=4.26; NA2O=14.91; Li2O=1.74; BAO=1.89; P2O5=1.85; GEO2=2.20; ZRO2=0.65; TIO2=27.69; RO=3.49; R2O=23.37; R2O3=3.84; RO2=30.53; R2O5=8.80; RmOn=99.94,SIO2=29.60; B2O3=4.64; CAO=0.96; K2O=4.32; NA2O=14.46; Li2O=1.79; BAO=1.84; P2O5=1.79; GEO2=2.20; ZRO2=0.71; TIO2=27.82; RO=3.52; R2O=22.89; R2O3=4.69; RO2=30.73; R2O5=8.43; RmOn=99.95,SIO2=30.27; B2O3=18.85; CAO=4.25; K2O=3.74; NA2O=8.26; BAO=1.23; P2O5=1.56; ZRO2=1.89; TIO2=27.13; RO=5.48; R2O=12.00; R2O3=18.85; RO2=29.02; R2O5=4.37; RmOn=100.00,adaptive_B
N-SF6HT,adaptive,B,3548300426188,0.014740970147822658,SIO2=29.60; B2O3=4.64; CAO=0.96; K2O=4.32; NA2O=14.46; Li2O=1.79; BAO=1.84; P2O5=1.79; GEO2=2.20; ZRO2=0.71; TIO2=27.82; RO=3.52; R2O=22.89; R2O3=4.69; RO2=30.73; R2O5=8.43; RmOn=99.95,"{""SIO2"": 13.161, ""AL2O3"": 0.209, ""B2O3"": 7.137, ""CAO"": 2.958, ""K2O"": 4.299, ""NA2O"": 5.911, ""PBO"": 0.05, ""Li2O"": 1.95, ""MgO"": 1.109, ""SRO"": 0.761, ""BAO"": 2.585, ""ZNO"": 0.0, ""P2O5"": 4.729, ""GEO2"": 2.952, ""ZRO2"": 1.189, ""TIO2"": 5.797, ""TEO2"": 0.0, ""RO"": 5.314, ""FemOn"": 0.0, ""R2O"": 7.768, ""R2O3"": 7.11, ""RO2"": 7.197, ""RO3"": 0.617, ""RO4"": 0.0, ""R2O5"": 5.872, ""RF"": 0.443, ""RF2"": 0.0, ""RF3"": 0.0, ""RF4"": 0.0, ""RF5"": 0.0, ""RHal"": 0.0, ""RHal2"": 0.0, ""RHal3"": 0.0, ""RHal4"": 0.0, ""RHal5"": 0.0, ""RHaln"": 0.443, ""RmOn"": 0.443, ""RmNn"": 0.0}",heavy flint,1.0,False,idw,20,SIO2=29.80; B2O3=3.79; CAO=0.91; K2O=4.26; NA2O=14.91; Li2O=1.74; BAO=1.89; P2O5=1.85; GEO2=2.20; ZRO2=0.65; TIO2=27.69; RO=3.49; R2O=23.37; R2O3=3.84; RO2=30.53; R2O5=8.80; RmOn=99.94,SIO2=29.60; B2O3=4.64; CAO=0.96; K2O=4.32; NA2O=14.46; Li2O=1.79; BAO=1.84; P2O5=1.79; GEO2=2.20; ZRO2=0.71; TIO2=27.82; RO=3.52; R2O=22.89; R2O3=4.69; RO2=30.73; R2O5=8.43; RmOn=99.95,SIO2=30.27; B2O3=18.85; CAO=4.25; K2O=3.74; NA2O=8.26; BAO=1.23; P2O5=1.56; ZRO2=1.89; TIO2=27.13; RO=5.48; R2O=12.00; R2O3=18.85; RO2=29.02; R2O5=4.37; RmOn=100.00,adaptive_B
N-SF6HTultra,adaptive,B,3548300426188,0.014740970147822658,SIO2=29.60; B2O3=4.64; CAO=0.96; K2O=4.32; NA2O=14.46; Li2O=1.79; BAO=1.84; P2O5=1.79; GEO2=2.20; ZRO2=0.71; TIO2=27.82; RO=3.52; R2O=22.89; R2O3=4.69; RO2=30.73; R2O5=8.43; RmOn=99.95,"{""SIO2"": 13.161, ""AL2O3"": 0.209, ""B2O3"": 7.137, ""CAO"": 2.958, ""K2O"": 4.299, ""NA2O"": 5.911, ""PBO"": 0.05, ""Li2O"": 1.95, ""MgO"": 1.109, ""SRO"": 0.761, ""BAO"": 2.585, ""ZNO"": 0.0, ""P2O5"": 4.729, ""GEO2"": 2.952, ""ZRO2"": 1.189, ""TIO2"": 5.797, ""TEO2"": 0.0, ""RO"": 5.314, ""FemOn"": 0.0, ""R2O"": 7.768, ""R2O3"": 7.11, ""RO2"": 7.197, ""RO3"": 0.617, ""RO4"": 0.0, ""R2O5"": 5.872, ""RF"": 0.443, ""RF2"": 0.0, ""RF3"": 0.0, ""RF4"": 0.0, ""RF5"": 0.0, ""RHal"": 0.0, ""RHal2"": 0.0, ""RHal3"": 0.0, ""RHal4"": 0.0, ""RHal5"": 0.0, ""RHaln"": 0.443, ""RmOn"": 0.443, ""RmNn"": 0.0}",heavy flint,1.0,False,idw,20,SIO2=29.80; B2O3=3.79; CAO=0.91; K2O=4.26; NA2O=14.91; Li2O=1.74; BAO=1.89; P2O5=1.85; GEO2=2.20; ZRO2=0.65; TIO2=27.69; RO=3.49; R2O=23.37; R2O3=3.84; RO2=30.53; R2O5=8.80; RmOn=99.94,SIO2=29.60; B2O3=4.64; CAO=0.96; K2O=4.32; NA2O=14.46; Li2O=1.79; BAO=1.84; P2O5=1.79; GEO2=2.20; ZRO2=0.71; TIO2=27.82; RO=3.52; R2O=22.89; R2O3=4.69; RO2=30.73; R2O5=8.43; RmOn=99.95,SIO2=30.27; B2O3=18.85; CAO=4.25; K2O=3.74; NA2O=8.26; BAO=1.23; P2O5=1.56; ZRO2=1.89; TIO2=27.13; RO=5.48; R2O=12.00; R2O3=18.85; RO2=29.02; R2O5=4.37; RmOn=100.00,adaptive_B
SF6,adaptive,B,2619800198758,0.0009873577052632908,SIO2=52.87; B2O3=1.99; K2O=1.70; NA2O=1.27; PBO=36.64; BAO=1.11; P2O5=0.57; TEO2=1.01; RO=38.13; R2O=3.44; R2O3=3.37; RO2=1.19; R2O5=0.85; RmOn=100.00,"{""SIO2"": 27.426, ""AL2O3"": 0.136, ""B2O3"": 18.557, ""CAO"": 2.235, ""K2O"": 4.096, ""NA2O"": 6.772, ""PBO"": 20.24, ""Li2O"": 5.639, ""MgO"": 0.0, ""SRO"": 3.078, ""BAO"": 9.429, ""ZNO"": 2.459, ""P2O5"": 9.53, ""GEO2"": 0.856, ""ZRO2"": 0.445, ""TIO2"": 1.795, ""TEO2"": 23.141, ""RO"": 14.025, ""FemOn"": 0.0, ""R2O"": 10.978, ""R2O3"": 27.508, ""RO2"": 22.87, ""RO3"": 2.252, ""RO4"": 0.0, ""R2O5"": 13.94, ""RF"": 0.0, ""RF2"": 0.0, ""RF3"": 0.0, ""RF4"": 0.0, ""RF5"": 0.0, ""RHal"": 0.0, ""RHal2"": 0.0, ""RHal3"": 0.0, ""RHal4"": 0.0, ""RHal5"": 0.0, ""RHaln"": 0.0, ""RmOn"": 0.0, ""RmNn"": 0.0}",uncertain,1.0,False,idw,20,SIO2=37.59; B2O3=8.75; K2O=2.71; NA2O=2.43; PBO=24.67; Li2O=2.11; SRO=0.65; BAO=4.82; ZNO=0.65; P2O5=2.53; TIO2=0.53; TEO2=4.39; RO=31.18; R2O=7.25; R2O3=14.40; RO2=5.19; RO3=0.65; R2O5=3.74; RmOn=100.00,SIO2=52.87; B2O3=1.99; K2O=1.70; NA2O=1.27; PBO=36.64; BAO=1.11; P2O5=0.57; TEO2=1.01; RO=38.13; R2O=3.44; R2O3=3.37; RO2=1.19; R2O5=0.85; RmOn=100.00,SIO2=57.42; K2O=1.42; NA2O=0.86; PBO=40.14; RO=40.14; R2O=2.28; RmOn=100.00,adaptive_B
SF6HT,adaptive,B,2619800198758,0.0009873577052632908,SIO2=52.87; B2O3=1.99; K2O=1.70; NA2O=1.27; PBO=36.64; BAO=1.11; P2O5=0.57; TEO2=1.01; RO=38.13; R2O=3.44; R2O3=3.37; RO2=1.19; R2O5=0.85; RmOn=100.00,"{""SIO2"": 27.426, ""AL2O3"": 0.136, ""B2O3"": 18.557, ""CAO"": 2.235, ""K2O"": 4.096, ""NA2O"": 6.772, ""PBO"": 20.24, ""Li2O"": 5.639, ""MgO"": 0.0, ""SRO"": 3.078, ""BAO"": 9.429, ""ZNO"": 2.459, ""P2O5"": 9.53, ""GEO2"": 0.856, ""ZRO2"": 0.445, ""TIO2"": 1.795, ""TEO2"": 23.141, ""RO"": 14.025, ""FemOn"": 0.0, ""R2O"": 10.978, ""R2O3"": 27.508, ""RO2"": 22.87, ""RO3"": 2.252, ""RO4"": 0.0, ""R2O5"": 13.94, ""RF"": 0.0, ""RF2"": 0.0, ""RF3"": 0.0, ""RF4"": 0.0, ""RF5"": 0.0, ""RHal"": 0.0, ""RHal2"": 0.0, ""RHal3"": 0.0, ""RHal4"": 0.0, ""RHal5"": 0.0, ""RHaln"": 0.0, ""RmOn"": 0.0, ""RmNn"": 0.0}",uncertain,1.0,False,idw,20,SIO2=37.59; B2O3=8.75; K2O=2.71; NA2O=2.43; PBO=24.67; Li2O=2.11; SRO=0.65; BAO=4.82; ZNO=0.65; P2O5=2.53; TIO2=0.53; TEO2=4.39; RO=31.18; R2O=7.25; R2O3=14.40; RO2=5.19; RO3=0.65; R2O5=3.74; RmOn=100.00,SIO2=52.87; B2O3=1.99; K2O=1.70; NA2O=1.27; PBO=36.64; BAO=1.11; P2O5=0.57; TEO2=1.01; RO=38.13; R2O=3.44; R2O3=3.37; RO2=1.19; R2O5=0.85; RmOn=100.00,SIO2=57.42; K2O=1.42; NA2O=0.86; PBO=40.14; RO=40.14; R2O=2.28; RmOn=100.00,adaptive_B
N-LASF44,adaptive,B,4025800474348,0.047732437876598664,SIO2=10.73; AL2O3=0.94; B2O3=40.48; CAO=0.66; ZNO=4.10; ZRO2=6.01; TIO2=0.80; RO=7.93; R2O=0.57; R2O3=70.26; RO2=6.82; RO3=0.54; R2O5=1.55; RmOn=98.74,"{""SIO2"": 10.324, ""AL2O3"": 2.272, ""B2O3"": 13.949, ""CAO"": 2.544, ""K2O"": 0.131, ""NA2O"": 0.101, ""PBO"": 0.0, ""Li2O"": 1.209, ""MgO"": 0.0, ""SRO"": 0.428, ""BAO"": 1.005, ""ZNO"": 3.324, ""P2O5"": 0.0, ""GEO2"": 0.0, ""ZRO2"": 3.199, ""TIO2"": 1.32, ""TEO2"": 0.0, ""RO"": 8.717, ""FemOn"": 0.0, ""R2O"": 1.22, ""R2O3"": 13.912, ""RO2"": 3.26, ""RO3"": 1.232, ""RO4"": 0.0, ""R2O5"": 0.928, ""RF"": 0.0, ""RF2"": 0.0, ""RF3"": 0.0, ""RF4"": 0.0, ""RF5"": 0.0, ""RHal"": 0.0, ""RHal2"": 0.0, ""RHal3"": 0.0, ""RHal4"": 0.0, ""RHal5"": 0.0, ""RHaln"": 0.0, ""RmOn"": 3.239, ""RmNn"": 0.0}",uncertain,1.0,False,idw,20,SIO2=10.52; AL2O3=0.94; B2O3=40.67; CAO=0.66; ZNO=4.05; ZRO2=6.00; TIO2=0.82; RO=7.92; R2O=0.56; R2O3=70.50; RO2=6.81; RO3=0.55; R2O5=1.53; RmOn=98.73,SIO2=10.73; AL2O3=0.94; B2O3=40.48; CAO=0.66; ZNO=4.10; ZRO2=6.01; TIO2=0.80; RO=7.93; R2O=0.57; R2O3=70.26; RO2=6.82; RO3=0.54; R2O5=1.55; RmOn=98.74,SIO2=38.80; B2O3=16.20; Li2O=3.63; ZNO=6.54; ZRO2=4.86; RO=6.54; R2O=3.63; R2O3=38.17; RO2=4.86; R2O5=3.58; RmOn=95.57,adaptive_B
