glass_name,filter_mode,property_mode,distance_first,distance_mean_top20,composition_variance,family_entropy,effective_neighbors,uncertainty_score,composition_completeness,physically_plausible,high_uncertainty,comp_exp_weight,comp_idw,comp_cluster_kmeans,scenario
LAK9G15,adaptive,B,0.02882540033080634,0.0679638379343309,49.2510756559988,0.39439769144744274,20,3.3472921239757722,1.0,False,True,SIO2=7.14; B2O3=48.86; CAO=15.71; MgO=0.56; SRO=0.81; BAO=4.65; ZNO=4.12; P2O5=2.06; GEO2=2.50; ZRO2=2.19; RO=25.86; R2O3=58.75; RO2=4.73; R2O5=3.32; RmOn=100.00,SIO2=6.94; B2O3=49.15; CAO=16.46; MgO=0.53; SRO=0.77; BAO=4.40; ZNO=3.97; P2O5=1.95; GEO2=2.39; ZRO2=2.17; RO=26.13; R2O3=59.02; RO2=4.59; R2O5=3.14; RmOn=100.00,SIO2=7.51; B2O3=53.17; CAO=17.81; MgO=0.57; SRO=0.83; BAO=2.70; ZNO=4.30; ZRO2=2.34; RO=26.21; R2O3=63.25; RO2=2.39; RmOn=100.00,adaptive_B
N-SF8,adaptive,B,0.011147512831720349,0.06920128422867022,24.659693581695795,0.3250829733914482,20,1.7064824645388454,1.0,False,True,SIO2=45.76; B2O3=1.87; CAO=2.19; K2O=3.07; NA2O=16.13; Li2O=2.48; BAO=0.98; P2O5=2.72; ZRO2=0.95; TIO2=21.82; RO=3.48; R2O=21.75; R2O3=2.06; RO2=22.78; R2O5=4.14; RmOn=100.00,SIO2=47.06; B2O3=2.11; CAO=2.30; K2O=3.60; NA2O=15.13; Li2O=1.91; BAO=1.18; P2O5=2.08; ZRO2=0.98; TIO2=21.53; RO=3.71; R2O=20.79; R2O3=2.39; RO2=22.52; R2O5=3.49; RmOn=100.00,SIO2=49.96; B2O3=2.05; CAO=2.44; K2O=3.82; NA2O=14.99; Li2O=0.80; BAO=1.25; ZRO2=1.05; TIO2=22.02; RO=3.94; R2O=19.77; R2O3=2.34; RO2=23.07; R2O5=0.88; RmOn=100.00,adaptive_B
N-LAK12,adaptive,B,0.04492412931203898,0.06000164396004905,49.979174414660136,0.0,20,2.9988326286456304,1.0,False,True,SIO2=20.31; B2O3=41.93; CAO=0.94; Li2O=2.56; BAO=24.89; RO=26.09; R2O=2.58; R2O3=49.35; RO2=1.66; RmOn=100.00,SIO2=20.27; B2O3=41.99; CAO=0.93; Li2O=2.55; BAO=24.88; RO=26.07; R2O=2.57; R2O3=49.41; RO2=1.68; RmOn=100.00,SIO2=30.14; AL2O3=0.57; B2O3=26.11; BAO=41.00; RO=41.00; R2O3=27.18; RO2=1.69; RmOn=100.00,adaptive_B
N-SF5,adaptive,B,0.041132232124945246,0.07122343898858144,26.468127811545664,0.1985152433458726,20,1.8851510863275982,1.0,False,True,SIO2=46.10; B2O3=0.74; CAO=1.33; K2O=2.70; NA2O=18.02; Li2O=0.94; P2O5=5.00; ZRO2=0.82; TIO2=20.33; RO=2.30; FemOn=2.46; R2O=21.70; R2O3=3.43; RO2=21.17; R2O5=5.25; RmOn=99.95,SIO2=45.71; B2O3=0.75; CAO=1.32; K2O=2.70; NA2O=17.84; Li2O=0.94; P2O5=5.52; ZRO2=0.82; TIO2=20.15; RO=2.29; FemOn=2.72; R2O=21.51; R2O3=3.69; RO2=20.98; R2O5=5.76; RmOn=99.95,P2O5=67.00; FemOn=33.00; R2O3=33.00; R2O5=67.00; RmOn=100.00,adaptive_B
SF5,adaptive,B,0.011579118860023658,0.04152874012442527,70.01487250036912,0.7083465777061714,20,2.907629444912599,1.0,False,True,SIO2=61.20; B2O3=0.97; K2O=4.47; NA2O=3.10; PBO=23.51; Li2O=0.51; BAO=0.95; P2O5=1.53; GEO2=1.51; TIO2=0.58; RO=25.01; R2O=8.08; R2O3=1.08; RO2=2.09; R2O5=2.13; RmOn=99.85,SIO2=61.18; B2O3=1.10; K2O=4.49; NA2O=2.80; PBO=23.52; BAO=1.06; P2O5=1.44; GEO2=1.73; TIO2=0.60; RO=25.05; R2O=7.78; R2O3=1.21; RO2=2.34; R2O5=2.01; RmOn=99.82,SIO2=66.22; B2O3=0.98; K2O=4.74; NA2O=0.94; PBO=25.46; BAO=1.14; RO=26.80; R2O=5.68; R2O3=1.10; RmOn=99.80,adaptive_B
N-BAF10,adaptive,B,0.02118613830123499,0.03322180720315522,13.599068827047981,0.0,20,0.45178564271462623,1.0,False,True,SIO2=15.06; AL2O3=0.55; B2O3=27.29; CAO=1.19; NA2O=0.70; SRO=1.21; BAO=2.76; ZNO=49.79; TIO2=0.87; RO=55.22; R2O=0.70; R2O3=28.02; RO2=0.87; RmOn=100.00,SIO2=15.14; AL2O3=0.55; B2O3=27.25; CAO=1.20; NA2O=0.71; SRO=1.20; BAO=2.80; ZNO=49.69; TIO2=0.88; RO=55.16; R2O=0.71; R2O3=27.99; RO2=0.88; RmOn=100.00,SIO2=45.40; AL2O3=0.66; B2O3=11.81; CAO=6.81; PBO=2.24; BAO=22.84; ZNO=6.04; TIO2=4.08; RO=37.93; R2O3=12.59; RO2=4.08; RmOn=100.00,adaptive_B
N-BASF2,adaptive,B,0.010019348162976624,0.07712342545492827,70.5156311428658,1.376226604344546,20,5.438407021854029,1.0,False,True,SIO2=43.61; AL2O3=1.14; B2O3=7.32; CAO=3.38; K2O=1.19; NA2O=8.72; Li2O=0.81; MgO=3.35; SRO=0.60; BAO=3.73; P2O5=9.31; ZRO2=3.70; TIO2=3.51; RO=13.27; FemOn=2.10; R2O=10.73; R2O3=9.54; RO2=7.22; R2O5=15.64; RmOn=100.00,SIO2=44.84; AL2O3=1.87; B2O3=6.14; CAO=4.37; K2O=0.90; NA2O=7.53; Li2O=0.66; MgO=5.63; BAO=2.82; P2O5=6.99; ZRO2=3.16; TIO2=3.02; RO=18.88; FemOn=5.49; R2O=9.10; R2O3=8.81; RO2=6.18; R2O5=12.19; RmOn=100.00,SIO2=52.18; AL2O3=1.76; B2O3=5.22; CAO=5.08; K2O=1.05; NA2O=8.77; Li2O=0.77; MgO=5.36; SRO=0.52; BAO=0.87; ZRO2=3.67; TIO2=3.52; RO=18.36; FemOn=6.38; R2O=10.59; R2O3=7.68; RO2=7.19; R2O5=4.00; RmOn=100.00,adaptive_B
N-SSK5,adaptive,B,0.020041082282419364,0.07544775615509094,56.35300451932681,0.1985152433458726,20,4.251707743580907,1.0,False,True,SIO2=19.96; B2O3=31.23; CAO=1.87; MgO=1.79; SRO=0.59; BAO=8.45; ZNO=28.90; ZRO2=0.76; TIO2=0.78; RO=43.71; R2O3=33.85; RO2=1.54; RmOn=99.89,SIO2=22.40; AL2O3=0.52; B2O3=29.81; CAO=2.21; MgO=1.82; SRO=0.53; BAO=9.76; ZNO=26.27; ZRO2=0.68; TIO2=1.03; RO=42.54; R2O3=32.45; RO2=1.70; RmOn=99.91,SIO2=43.63; AL2O3=1.27; B2O3=15.18; CAO=4.63; BAO=23.80; ZNO=5.22; ZRO2=1.66; TIO2=2.37; RO=34.23; R2O3=17.68; RO2=4.03; RmOn=99.77,adaptive_B
N-KZFS5,adaptive,B,0.008467795455321763,0.07687455595536997,25.673070314686882,0.9958213213455276,20,1.9736058804525445,1.0,False,True,SIO2=48.35; B2O3=9.84; CAO=3.02; K2O=0.60; NA2O=13.61; Li2O=2.41; MgO=0.53; SRO=0.93; ZNO=1.94; P2O5=2.94; ZRO2=6.29; TIO2=2.08; RO=6.89; FemOn=1.45; R2O=16.63; R2O3=11.70; RO2=8.37; R2O5=8.06; RmOn=100.00,SIO2=48.99; B2O3=10.46; CAO=3.09; NA2O=13.70; Li2O=2.08; MgO=0.69; SRO=0.78; ZNO=2.04; P2O5=2.02; ZRO2=7.25; TIO2=1.67; RO=6.99; FemOn=0.99; R2O=16.21; R2O3=11.79; RO2=8.92; R2O5=7.10; RmOn=100.00,SIO2=50.97; B2O3=12.70; CAO=2.20; NA2O=15.26; Li2O=0.77; MgO=0.84; ZNO=1.38; ZRO2=8.67; RO=4.63; R2O=16.40; R2O3=12.98; RO2=8.87; R2O5=6.16; RmOn=100.00,adaptive_B
N-BAF51,adaptive,B,0.01176197105514862,0.0533787874415846,99.32028286090737,0.7083465777061714,20,5.3015962674704324,1.0,False,True,SIO2=32.43; AL2O3=3.89; B2O3=19.07; CAO=9.48; K2O=0.64; NA2O=6.06; PBO=4.21; SRO=2.68; BAO=7.44; ZNO=2.83; P2O5=3.16; GEO2=1.43; ZRO2=1.72; TIO2=2.86; RO=27.06; R2O=6.81; R2O3=23.97; RO2=6.01; R2O5=3.72; RmOn=100.00,SIO2=34.16; AL2O3=3.48; B2O3=17.46; CAO=9.70; K2O=0.66; NA2O=6.29; PBO=3.78; SRO=2.48; BAO=7.92; ZNO=3.00; P2O5=2.95; GEO2=1.22; ZRO2=1.82; TIO2=3.17; RO=27.27; R2O=7.05; R2O3=21.85; RO2=6.20; R2O5=3.47; RmOn=100.00,SIO2=45.63; AL2O3=1.60; B2O3=4.91; CAO=12.96; K2O=0.88; NA2O=8.23; PBO=1.55; SRO=3.31; BAO=8.66; ZNO=4.00; GEO2=1.63; ZRO2=2.11; TIO2=4.23; RO=30.47; R2O=9.24; R2O3=6.68; RO2=7.97; RmOn=100.00,adaptive_B
