glass_name,filter_mode,property_mode,rank,sciglass_id,distance,oxide_SIO2,oxide_AL2O3,oxide_B2O3,oxide_CAO,oxide_K2O,oxide_NA2O,oxide_PBO,oxide_Li2O,oxide_MgO,oxide_SRO,oxide_BAO,oxide_ZNO,oxide_P2O5,oxide_GEO2,oxide_ZRO2,oxide_TIO2,oxide_TEO2,oxide_RO,oxide_FemOn,oxide_R2O,oxide_R2O3,oxide_RO2,oxide_RO3,oxide_RO4,oxide_R2O5,oxide_RF,oxide_RF2,oxide_RF3,oxide_RF4,oxide_RF5,oxide_RHal,oxide_RHal2,oxide_RHal3,oxide_RHal4,oxide_RHal5,oxide_RHaln,oxide_RmOn,oxide_RmNn,scenario
LASF35,adaptive,B,15,4238400484113,0.13861806715688865,13.573368072509766,0.0,13.444778442382812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.500357151031494,0.0,0.0,7.958280086517334,33.061866760253906,0.0,2.500357151031494,0.0,0.0,37.83397674560547,41.020145416259766,0.0,,5.072153091430664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,adaptive_B
LASF35,adaptive,B,16,4377000532130,0.13877425838128324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,adaptive_B
LASF35,adaptive,B,17,4193400487820,0.14691388555746196,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,0.0,0.0,,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,adaptive_B
LASF35,adaptive,B,18,848700066665,0.14876891140999987,14.149395942687988,0.0,16.281797409057617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3309686183929443,0.0,9.812400817871094,9.697029113769531,0.0,0.0,0.0,0.0,54.31687545776367,19.509429931640625,0.0,,12.024298667907717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,adaptive_B
LASF35,adaptive,B,19,4377000532128,0.15118292825951218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,adaptive_B
LASF35,adaptive,B,20,4435200607900,0.1540938844381578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,adaptive_B
P-SF68,adaptive,B,1,3304900407413,0.0177550996972877,7.075165271759033,0.0,15.98199462890625,0.0,0.0,0.0,0.0,5.010186672210693,0.0,0.0,4.990604877471924,9.992051124572754,0.0,30.9023380279541,0.0,0.0,0.0,14.982656478881836,0.0,5.010186672210693,42.0296630859375,30.9023380279541,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,adaptive_B
P-SF68,adaptive,B,2,3304900407417,0.020578062585118618,7.058051586151123,0.0,15.989684104919434,0.0,0.0,0.0,0.0,5.005229949951172,0.0,0.0,4.9884114265441895,9.97900676727295,0.0,28.9205379486084,0.0,0.0,0.0,14.967418670654297,0.0,5.005229949951172,44.04875946044922,28.9205379486084,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,adaptive_B
P-SF68,adaptive,B,3,498300094530,0.027181431518503493,0.0,0.0,59.060001373291016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,adaptive_B
P-SF68,adaptive,B,4,3770800445890,0.028114831449255022,10.59294319152832,2.0807552337646484,45.71012115478516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7673840522766118,2.606685161590576,0.0,0.0,0.0,0.0,0.0,5.374069213867188,0.0,0.0,84.03299713134766,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.00000762939452,0.0,adaptive_B
