glass_name,rank,sciglass_id,distance_euclidean_z,distance_cosine,distance_mahalanobis,glass_family,oxide_SIO2,oxide_AL2O3,oxide_B2O3,oxide_CAO,oxide_K2O,oxide_NA2O,oxide_PBO,oxide_Li2O,oxide_MgO,oxide_SRO,oxide_BAO,oxide_ZNO,oxide_P2O5,oxide_GEO2,oxide_ZRO2,oxide_TIO2,oxide_TEO2,oxide_RO,oxide_FemOn,sg_ND300,sg_NUD300,sg_DENSITY,sg_TG,oxide_sum_pct,oxide_sum_ok,has_negative,physically_plausible
LASF35,16,4377000532127,0.37136605849884363,0.008085574419605335,0.6245875307772915,uncertain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.049000024795532,26.950000762939453,5.320000171661377,741.0,0.0,False,False,False
LASF35,17,4238400484120,0.3797312365724278,0.008607053138214193,0.693606437795838,heavy flint,13.20236873626709,0.0,13.05792236328125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.44113826751709,0.0,0.0,7.742308139801025,32.139244079589844,0.0,2.44113826751709,0.0,2.052000045776367,26.700000762939453,5.28000020980835,743.0,71.02411985397339,False,False,False
LASF35,18,4377000532163,0.3797312365724278,0.008607053138214193,0.693606437795838,uncertain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.052000045776367,26.700000762939453,5.28000020980835,743.0,0.0,False,False,False
LASF35,19,4377000532118,0.3867021124648922,0.008736541270797815,0.7329591030006573,uncertain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.049999952316284,26.68000030517578,5.230000019073486,744.0,0.0,False,False,False
LASF35,20,4238400484112,0.3961947155696843,0.009115797815972826,0.6746195495999782,heavy flint,13.573368072509766,0.0,13.444778442382812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.500357151031494,0.0,0.0,7.958280086517334,33.061866760253906,0.0,2.500357151031494,0.0,2.0480000972747803,26.5,5.260000228881836,741.0,73.0390076637268,False,False,False
P-SF68,1,3304900407413,0.042267700466844985,9.651552186618062e-05,0.09628081383863521,lanthanum,7.075165271759033,0.0,15.98199462890625,0.0,0.0,0.0,0.0,5.010186672210693,0.0,0.0,4.990604877471924,9.992051124572754,0.0,30.9023380279541,0.0,0.0,0.0,14.982656478881836,0.0,2.003000020980835,20.739999771118164,6.199999809265137,432.0,88.93499708175659,False,False,False
P-SF68,2,3304900407417,0.048093840642073116,0.00012698997701865444,0.050775188264122736,lanthanum,7.058051586151123,0.0,15.989684104919434,0.0,0.0,0.0,0.0,5.005229949951172,0.0,0.0,4.9884114265441895,9.97900676727295,0.0,28.9205379486084,0.0,0.0,0.0,14.967418670654297,0.0,2.009999990463257,20.75,6.199999809265137,432.0,86.90834045410156,False,False,False
P-SF68,3,3304900407412,0.10049544634000054,0.00032904337991268573,0.12590880070430072,lanthanum,7.977785110473633,0.0,15.995342254638672,0.0,0.0,0.0,0.0,5.001502990722656,0.0,0.0,4.992521286010742,9.98745059967041,0.0,30.90814781188965,0.0,0.0,0.0,14.979971885681152,0.0,1.996999979019165,20.75,6.099999904632568,427.0,89.84272193908691,False,False,False
P-SF68,4,3304900407422,0.12403281664397658,0.00034953400419934777,0.2053032216916386,lanthanum,6.079494953155518,0.0,15.97899055480957,0.0,0.0,0.0,0.0,5.026276588439941,0.0,2.01224422454834,2.987048864364624,8.975478172302246,0.0,30.89523124694824,0.0,1.996315836906433,0.0,13.974771499633787,0.0,2.0220000743865967,19.8799991607666,6.199999809265137,423.0,87.9258519411087,False,False,False
P-SF68,5,3304900407419,0.1255388363175245,0.0007130226262168637,0.2338963850738739,lanthanum,7.418068885803223,0.0,15.93862247467041,0.0,0.0,4.983186721801758,0.0,0.0,1.9731076955795288,0.0,2.979304075241089,9.95270538330078,0.0,30.79744911193848,0.0,0.0,0.0,14.90511703491211,0.0,1.9919999837875368,20.200000762939453,6.099999904632568,426.0,88.94756138324738,False,False,False
