glass_name,composition_source,matched_sciglass_id,distance_first,distance_mean_top20,jaccard_mode_a_b,jaccard_label,predicted_composition,composition_pls,composition_xgb,composition_gpr,local_pls_cv_mse,local_xgb_cv_mse,local_gpr_cv_mse,composition_variance_neighbors,uncertainty_score,family_entropy,best_neighbor_plausible,plausible_ratio_top20,plausible_ratio_top5,n_neighbors_used,stable_neighbor_count
N-SF14,best_neighbor_mode_b,3546600425758,0.021499468006198,0.06670413857712736,0.08108108108108109,ill_posed,SIO2=22.55; K2O=19.18; NA2O=14.57; GEO2=6.04; TIO2=30.53,SIO2=40.11; B2O3=1.88; CAO=1.30; K2O=8.15; NA2O=13.88; BAO=3.46; GEO2=0.52; TIO2=24.97; RO=5.15,SIO2=31.42; B2O3=6.85; CAO=1.76; K2O=7.72; NA2O=14.35; Li2O=0.59; BAO=2.04; P2O5=1.16; TIO2=31.12; RO=2.64,SIO2=40.11; B2O3=1.88; CAO=1.30; K2O=8.15; NA2O=13.88; BAO=3.46; GEO2=0.52; TIO2=24.97; RO=5.15,21.31252064526275,5.020011799602944,,30.12396572273634,2.009393184062039,0.1985152433458726,False,0.25,0.0,20,3
P-LAF37,best_neighbor_mode_b,3053100401245,0.02364016667050669,0.0648831149906264,0.08108108108108109,ill_posed,SIO2=21.97; AL2O3=0.54; B2O3=27.49; CAO=3.53; NA2O=4.97; Li2O=9.20; ZNO=11.49; ZRO2=0.89; TIO2=2.75; RO=15.02,SIO2=11.34; B2O3=18.55; Li2O=1.09; ZNO=33.52; ZRO2=1.72; RO=33.30,SIO2=16.97; B2O3=31.42; CAO=1.07; NA2O=2.36; Li2O=10.90; ZNO=16.95; ZRO2=1.04; TIO2=1.83; RO=17.27,SIO2=11.34; B2O3=18.55; Li2O=1.09; ZNO=33.52; ZRO2=1.72; RO=33.30,13.059965398411045,2.553290348497722,,19.338387996302565,1.2547348520974486,0.0,False,0.05,0.0,20,3
SF4,best_neighbor_mode_b,2619800198756,0.0007691720726841996,0.05117119572386684,0.2903225806451613,ill_posed,SIO2=60.93; K2O=2.51; NA2O=1.52; PBO=34.92; RO=34.92,SIO2=44.20; K2O=1.88; NA2O=1.40; PBO=24.52; Li2O=0.55; P2O5=1.44; TIO2=0.72; RO=24.68,SIO2=44.85; K2O=2.05; NA2O=1.13; PBO=25.62; RO=25.62,SIO2=44.20; K2O=1.88; NA2O=1.40; PBO=24.52; Li2O=0.55; P2O5=1.44; TIO2=0.72; RO=24.68,4.428433528419905,2.6124557125095946,,55.240847244757454,2.8267402063137137,0.3250829733914482,False,0.0,0.0,20,9
N-SF4,best_neighbor_mode_b,849000066684,0.002971736537230298,0.054812620970739,0.1111111111111111,ill_posed,SIO2=42.60; B2O3=0.56; CAO=2.77; K2O=4.36; NA2O=15.02; BAO=4.55; TIO2=27.00; RO=7.32,SIO2=35.57; B2O3=2.70; CAO=1.41; K2O=7.17; NA2O=14.40; Li2O=3.12; BAO=3.41; P2O5=2.15; GEO2=0.67; ZRO2=0.59; TIO2=23.31; RO=5.08,SIO2=38.25; B2O3=3.14; CAO=1.35; K2O=4.97; NA2O=13.29; Li2O=1.34; BAO=2.88; P2O5=1.45; TIO2=28.24; RO=4.56,SIO2=35.57; B2O3=2.70; CAO=1.41; K2O=7.17; NA2O=14.40; Li2O=3.12; BAO=3.41; P2O5=2.15; GEO2=0.67; ZRO2=0.59; TIO2=23.31; RO=5.08,31.73051644553792,9.410770949302702,,40.232195899791385,2.205232104675785,0.39439769144744274,False,0.1,0.2,20,4
N-LAK33B,best_neighbor_mode_b,3483700419576,0.017342780098105564,0.0709576685936851,0.0,ill_posed,B2O3=63.64; CAO=12.12; RO=12.12,SIO2=9.61; B2O3=71.10; CAO=0.90; ZNO=3.70; ZRO2=7.72; TIO2=0.55; RO=4.88,SIO2=4.68; B2O3=73.68; CAO=2.25; ZNO=2.43; ZRO2=7.58; RO=8.97,SIO2=9.61; B2O3=71.10; CAO=0.90; ZNO=3.70; ZRO2=7.72; TIO2=0.55; RO=4.88,16.867118932796476,1.9603260209615865,,25.89956053912453,1.8377724334572827,0.0,False,0.0,0.0,20,0
N-LAF7,best_neighbor_mode_b,2415700192302,0.04742775111864869,0.11516514978980216,0.08108108108108109,ill_posed,SIO2=25.78; B2O3=20.94; CAO=2.44; NA2O=5.88; BAO=17.23; ZNO=10.08; ZRO2=2.96; TIO2=11.41; RO=29.75,SIO2=26.98; AL2O3=1.02; B2O3=9.70; CAO=1.38; NA2O=2.66; SRO=1.14; BAO=14.18; ZNO=7.34; ZRO2=0.54; TIO2=10.26; RO=24.12,SIO2=26.31; B2O3=12.13; CAO=1.52; NA2O=3.72; BAO=13.82; ZNO=7.89; ZRO2=0.53; TIO2=10.79; RO=22.94,SIO2=26.98; AL2O3=1.02; B2O3=9.70; CAO=1.38; NA2O=2.66; SRO=1.14; BAO=14.18; ZNO=7.34; ZRO2=0.54; TIO2=10.26; RO=24.12,17.514702434329983,4.360404505970582,,43.847407290158884,5.049693228465611,0.6881388137135884,False,0.0,0.0,20,3
N-LAK28,best_neighbor_mode_b,209300110671,0.013721696971798385,0.052984933457339435,0.02564102564102564,ill_posed,SIO2=7.28; B2O3=51.29; CAO=3.88; ZNO=16.93; ZRO2=4.42; RO=20.81,SIO2=2.81; AL2O3=1.41; B2O3=53.92; ZNO=17.22; ZRO2=3.09; RO=20.78,B2O3=56.46; ZNO=17.99; ZRO2=5.73; RO=18.95,SIO2=2.81; AL2O3=1.41; B2O3=53.92; ZNO=17.22; ZRO2=3.09; RO=20.78,8.366278814699918,1.0983417491210516,,13.388762851104929,0.7094027087418928,0.0,False,0.35,0.2,20,1
N-LAF2,best_neighbor_mode_b,2398000191633,0.002127114037646848,0.08239026217818263,0.02564102564102564,ill_posed,SIO2=31.82; B2O3=21.66; CAO=1.44; BAO=28.71; ZRO2=2.25; TIO2=3.98; RO=30.58,SIO2=14.70; B2O3=62.13; CAO=0.57; MgO=1.24; BAO=7.23; TIO2=1.97; RO=11.42,SIO2=27.71; B2O3=26.91; CAO=3.67; BAO=15.03; ZRO2=1.00; TIO2=3.79; RO=21.52,SIO2=14.70; B2O3=62.13; CAO=0.57; MgO=1.24; BAO=7.23; TIO2=1.97; RO=11.42,40.595302543934814,6.978380007623846,,58.321134889151324,4.8050935940463315,0.0,False,0.0,0.0,20,1
SF3,best_neighbor_mode_b,2619800198754,6.546376452869212e-08,0.058592310684520796,0.05263157894736842,ill_posed,SIO2=60.99; K2O=3.06; NA2O=2.79; PBO=33.04; RO=33.04,SIO2=43.87; K2O=2.03; NA2O=2.38; PBO=24.22; Li2O=1.00; P2O5=1.21; TIO2=0.75; RO=23.50,SIO2=46.27; K2O=2.93; NA2O=1.71; PBO=24.57; RO=24.05,SIO2=43.87; K2O=2.03; NA2O=2.38; PBO=24.22; Li2O=1.00; P2O5=1.21; TIO2=0.75; RO=23.50,30.88782425822479,5.623851536857168,,63.60614985342759,3.726831293658216,0.5181862130502128,False,0.0,0.0,20,2
N-LAK34,best_neighbor_mode_b,989200041057,0.009348767052434936,0.0565900321954302,0.05263157894736842,ill_posed,B2O3=72.75; CAO=4.50; RO=4.50,SIO2=2.75; AL2O3=2.13; B2O3=86.28; CAO=1.36; SRO=0.51; ZNO=1.30; ZRO2=2.20; RO=3.07,B2O3=92.46; CAO=0.80; RO=5.27,SIO2=2.75; AL2O3=2.13; B2O3=86.28; CAO=1.36; SRO=0.51; ZNO=1.30; ZRO2=2.20; RO=3.07,41.974359516347796,7.507250889193892,,87.3894877029918,4.945373922654458,0.5004024235381879,False,0.05,0.0,20,2
N-SF10,best_neighbor_mode_b,3159300404864,0.0126441259132404,0.06269281377760297,0.05263157894736842,ill_posed,SIO2=44.05; AL2O3=0.52; B2O3=2.70; CAO=1.07; K2O=5.20; NA2O=15.31; BAO=3.59; TIO2=25.07; RO=4.73,SIO2=42.98; B2O3=4.21; CAO=0.63; K2O=8.73; NA2O=13.53; SRO=0.50; BAO=1.52; P2O5=2.73; TIO2=21.20; RO=2.95,SIO2=45.15; B2O3=1.50; CAO=1.37; K2O=4.68; NA2O=14.65; Li2O=0.58; SRO=0.86; BAO=1.80; TIO2=24.39; RO=4.34,SIO2=42.98; B2O3=4.21; CAO=0.63; K2O=8.73; NA2O=13.53; SRO=0.50; BAO=1.52; P2O5=2.73; TIO2=21.20; RO=2.95,15.85306338523671,5.124407729848363,,35.37540237805988,2.2177835135954815,0.3250829733914482,False,0.1,0.2,20,2
SF10,best_neighbor_mode_b,4194200489015,0.04452394217480887,0.08208130200304536,0.0,ill_posed,K2O=3.47; NA2O=15.03; Li2O=8.68; ZNO=30.12; P2O5=26.90; RO=30.12,SIO2=19.15; AL2O3=1.36; B2O3=2.26; K2O=0.57; NA2O=7.00; PBO=8.83; Li2O=3.44; SRO=0.53; ZNO=11.40; P2O5=9.91; GEO2=9.05; TIO2=5.42; RO=20.76,K2O=1.27; NA2O=13.63; Li2O=6.46; ZNO=26.79; P2O5=22.25; TIO2=2.93; RO=26.29,SIO2=19.15; AL2O3=1.36; B2O3=2.26; K2O=0.57; NA2O=7.00; PBO=8.83; Li2O=3.44; SRO=0.53; ZNO=11.40; P2O5=9.91; GEO2=9.05; TIO2=5.42; RO=20.76,14.861405785097467,6.4531714111092215,,64.43996031469405,5.28931584365466,1.0097627067113208,False,0.0,0.0,20,0
P-SF69,best_neighbor_mode_b,3159300404863,0.044186172118646845,0.07106742257014552,0.02564102564102564,ill_posed,SIO2=44.48; B2O3=2.62; CAO=1.34; K2O=6.28; NA2O=14.56; BAO=2.54; ZRO2=0.85; TIO2=25.63; RO=3.92,SIO2=39.30; B2O3=2.14; CAO=1.84; K2O=3.30; NA2O=15.61; Li2O=2.81; BAO=1.64; ZNO=1.21; P2O5=3.62; ZRO2=0.66; TIO2=21.69; RO=5.40,SIO2=47.74; B2O3=2.77; CAO=1.55; K2O=5.30; NA2O=16.29; Li2O=0.84; BAO=2.23; ZRO2=0.62; TIO2=18.57; RO=3.49,SIO2=39.30; B2O3=2.14; CAO=1.84; K2O=3.30; NA2O=15.61; Li2O=2.81; BAO=1.64; ZNO=1.21; P2O5=3.62; ZRO2=0.66; TIO2=21.69; RO=5.40,19.24258865259467,4.766605161518155,,72.0315789416998,5.1190986590445755,0.8864644756797975,False,0.3,0.0,20,1
N-KZFS8,best_neighbor_mode_b,3204600406676,0.026319814196492018,0.06749516305895883,0.05263157894736842,ill_posed,SIO2=44.78; B2O3=8.45; CAO=4.50; K2O=3.21; NA2O=8.14; Li2O=14.07; BAO=0.55; ZRO2=6.14; RO=5.05,SIO2=43.65; B2O3=4.98; CAO=3.45; K2O=4.55; NA2O=7.28; Li2O=6.77; BAO=4.64; ZRO2=4.51; TIO2=11.45; RO=8.25,SIO2=43.07; B2O3=5.22; CAO=5.22; K2O=3.94; NA2O=6.11; Li2O=4.46; SRO=0.51; BAO=3.11; ZRO2=4.91; TIO2=14.83; RO=8.47,SIO2=43.65; B2O3=4.98; CAO=3.45; K2O=4.55; NA2O=7.28; Li2O=6.77; BAO=4.64; ZRO2=4.51; TIO2=11.45; RO=8.25,2.17062941194327,0.7836488306513465,,5.693593368096096,0.3842900127710526,0.3250829733914482,False,0.0,0.0,20,2
N-LAK10,best_neighbor_mode_b,3693200439345,0.01715573143713765,0.07686140252454768,0.0,ill_posed,SIO2=16.04; AL2O3=2.24; B2O3=39.69; SRO=11.99; BAO=2.28; ZNO=10.36; ZRO2=5.88; TIO2=1.32; RO=24.64,SIO2=6.00; AL2O3=1.32; B2O3=44.41; CAO=10.38; MgO=3.28; SRO=1.04; BAO=0.89; ZNO=6.07; ZRO2=4.21; RO=21.75,SIO2=6.67; AL2O3=0.71; B2O3=53.67; CAO=5.75; MgO=2.20; SRO=2.43; BAO=0.72; ZNO=7.72; ZRO2=3.33; TIO2=0.63; RO=16.06,SIO2=6.00; AL2O3=1.32; B2O3=44.41; CAO=10.38; MgO=3.28; SRO=1.04; BAO=0.89; ZNO=6.07; ZRO2=4.21; RO=21.75,17.275736881631584,3.8003127703074133,,28.017703996454436,2.1534800246851127,0.1985152433458726,False,0.25,0.0,20,0
N-SF1,best_neighbor_mode_b,3159300404861,0.004387121560512919,0.05115972692259359,0.02564102564102564,ill_posed,SIO2=46.98; B2O3=2.93; CAO=2.69; K2O=4.81; NA2O=14.61; BAO=2.92; TIO2=21.83; RO=5.66,SIO2=44.92; B2O3=1.25; CAO=1.05; K2O=6.22; NA2O=13.89; SRO=1.14; BAO=1.15; ZNO=0.79; P2O5=1.26; ZRO2=0.79; TIO2=22.62; RO=4.05,SIO2=47.04; B2O3=3.23; CAO=1.54; K2O=4.42; NA2O=13.11; BAO=2.57; TIO2=22.72; RO=4.55,SIO2=44.92; B2O3=1.25; CAO=1.05; K2O=6.22; NA2O=13.89; SRO=1.14; BAO=1.15; ZNO=0.79; P2O5=1.26; ZRO2=0.79; TIO2=22.62; RO=4.05,18.826253771258877,2.981930436595179,,33.34395157265442,1.705867456977185,0.3250829733914482,False,0.05,0.0,20,1
SF1,best_neighbor_mode_b,2853300365710,0.0008954232142831375,0.036443848655624125,0.3333333333333333,weak,SIO2=63.25; K2O=2.98; NA2O=2.71; PBO=30.89; RO=30.89,SIO2=47.68; K2O=2.43; NA2O=2.71; PBO=22.96; RO=22.99,SIO2=48.30; K2O=2.16; NA2O=1.95; PBO=23.55; RO=23.57,SIO2=47.68; K2O=2.43; NA2O=2.71; PBO=22.96; RO=22.99,2.4800183495618486,1.1845444486383137,,37.20652564904526,1.3559489897554027,0.39439769144744274,False,0.0,0.0,20,10
N-LAK8,best_neighbor_mode_b,2087100187414,0.03464978631954586,0.06989467440539897,0.0,ill_posed,B2O3=60.24; MgO=24.10; RO=24.10,SIO2=5.53; B2O3=38.56; CAO=8.57; MgO=4.96; SRO=0.63; BAO=2.61; ZNO=4.23; GEO2=11.62; ZRO2=2.15; RO=21.01,SIO2=2.80; B2O3=57.83; CAO=2.49; MgO=6.70; ZNO=4.13; ZRO2=3.46; RO=21.72,SIO2=5.53; B2O3=38.56; CAO=8.57; MgO=4.96; SRO=0.63; BAO=2.61; ZNO=4.23; GEO2=11.62; ZRO2=2.15; RO=21.01,28.109880570426274,5.837888702712556,,40.931517853111266,2.860895113261987,0.1985152433458726,False,0.05,0.0,20,0
N-BASF64,best_neighbor_mode_b,948900067914,0.005722278591386953,0.03234236961277246,0.14285714285714285,ill_posed,SIO2=36.58; B2O3=9.84; CAO=13.75; K2O=2.59; NA2O=2.60; Li2O=7.42; MgO=7.43; ZNO=3.71; P2O5=0.94; ZRO2=4.64; TIO2=5.86; RO=24.89,SIO2=26.25; AL2O3=0.99; B2O3=11.04; CAO=13.28; K2O=1.65; NA2O=2.64; Li2O=3.94; MgO=6.00; SRO=0.83; ZNO=1.33; P2O5=0.64; GEO2=0.73; ZRO2=2.83; TIO2=6.35; RO=21.47,SIO2=29.24; AL2O3=0.60; B2O3=7.89; CAO=12.97; K2O=2.25; NA2O=2.90; Li2O=3.52; MgO=5.97; SRO=1.27; ZNO=1.62; ZRO2=3.58; TIO2=5.97; RO=21.74,SIO2=26.25; AL2O3=0.99; B2O3=11.04; CAO=13.28; K2O=1.65; NA2O=2.64; Li2O=3.94; MgO=6.00; SRO=0.83; ZNO=1.33; P2O5=0.64; GEO2=0.73; ZRO2=2.83; TIO2=6.35; RO=21.47,25.345373327910526,6.843491852389602,,29.00343331939655,0.9380397604553232,0.1985152433458726,False,0.05,0.2,20,5
N-SF15,best_neighbor_mode_b,3159300404867,0.00614700314129647,0.061079822922036606,0.05263157894736842,ill_posed,SIO2=52.57; B2O3=2.60; CAO=1.93; K2O=5.14; NA2O=10.84; BAO=2.33; ZRO2=1.11; TIO2=21.71; RO=4.30,SIO2=37.68; AL2O3=1.99; B2O3=1.43; K2O=2.98; NA2O=20.74; BAO=1.15; P2O5=5.14; GEO2=2.86; ZRO2=0.70; TIO2=24.96,SIO2=49.03; B2O3=1.92; CAO=0.67; K2O=5.02; NA2O=13.70; BAO=1.84; ZRO2=1.47; TIO2=21.88; RO=4.10,SIO2=37.68; AL2O3=1.99; B2O3=1.43; K2O=2.98; NA2O=20.74; BAO=1.15; P2O5=5.14; GEO2=2.86; ZRO2=0.70; TIO2=24.96,27.841982113575508,3.358590422475258,,44.00306607469913,2.687699483869299,0.42270908780599087,False,0.2,0.0,20,2
N-LAK14,best_neighbor_mode_b,2913200382226,0.02228451082520315,0.07160211918801328,0.05263157894736842,ill_posed,B2O3=66.75; CAO=16.50; RO=16.50,SIO2=4.62; B2O3=46.85; CAO=15.15; BAO=4.01; ZNO=2.97; P2O5=5.68; ZRO2=1.42; RO=18.97,SIO2=1.10; AL2O3=0.87; B2O3=65.17; CAO=14.47; MgO=0.63; BAO=0.58; ZNO=2.83; ZRO2=0.88; RO=12.98,SIO2=4.62; B2O3=46.85; CAO=15.15; BAO=4.01; ZNO=2.97; P2O5=5.68; ZRO2=1.42; RO=18.97,28.8455159125201,4.546091958760794,,39.27296933034463,2.812027830858526,0.1985152433458726,True,0.15,0.4,20,2
P-LAK35,best_neighbor_mode_b,3412200408239,0.011081819248639024,0.02769346785961359,0.0,ill_posed,SIO2=13.63; AL2O3=0.89; B2O3=44.44; CAO=4.87; Li2O=12.18; ZNO=8.94; ZRO2=3.69; RO=13.81,SIO2=25.82; B2O3=22.12; CAO=6.58; Li2O=13.71; SRO=7.31; BAO=6.71; ZRO2=1.77; RO=15.49,SIO2=15.53; B2O3=35.95; CAO=5.18; Li2O=11.07; SRO=0.97; BAO=0.75; ZNO=9.83; ZRO2=1.28; RO=19.19,SIO2=25.82; B2O3=22.12; CAO=6.58; Li2O=13.71; SRO=7.31; BAO=6.71; ZRO2=1.77; RO=15.49,9.509382388319127,2.550254275921295,,19.013647669464866,0.5265538406283421,0.0,False,0.0,0.0,20,0
N-LAK9,best_neighbor_mode_b,3693200439340,0.015265126185454995,0.05894779191883587,0.1111111111111111,ill_posed,SIO2=15.56; B2O3=44.30; CAO=15.61; Li2O=0.77; MgO=3.41; BAO=3.40; ZNO=5.85; ZRO2=2.00; RO=28.28,SIO2=5.20; B2O3=46.23; CAO=14.04; Li2O=0.77; MgO=1.09; BAO=2.93; ZNO=2.65; P2O5=3.62; ZRO2=1.78; RO=21.10,SIO2=7.69; B2O3=47.19; CAO=15.28; MgO=1.41; BAO=1.44; ZNO=0.80; ZRO2=2.70; RO=23.11,SIO2=5.20; B2O3=46.23; CAO=14.04; Li2O=0.77; MgO=1.09; BAO=2.93; ZNO=2.65; P2O5=3.62; ZRO2=1.78; RO=21.10,27.22959054252891,4.637836742371909,,34.89104259112403,2.056749918492819,0.1985152433458726,False,0.15,0.0,20,4
LAK9G15,best_neighbor_mode_b,3407200416708,0.02882540033080634,0.0679638379343309,0.05263157894736842,ill_posed,B2O3=55.00; CAO=36.00; RO=36.00,SIO2=5.58; B2O3=44.02; CAO=14.15; MgO=1.14; SRO=0.68; BAO=4.13; ZNO=2.75; P2O5=2.67; ZRO2=1.65; RO=22.86,SIO2=5.29; B2O3=45.38; CAO=16.93; SRO=1.16; BAO=0.62; ZNO=1.44; ZRO2=2.98; RO=25.44,SIO2=5.58; B2O3=44.02; CAO=14.15; MgO=1.14; SRO=0.68; BAO=4.13; ZNO=2.75; P2O5=2.67; ZRO2=1.65; RO=22.86,34.95179535697803,6.979680716826229,,53.649107541132615,3.646199250247027,0.39439769144744274,False,0.05,0.0,20,2
N-SF8,best_neighbor_mode_b,3159300404866,0.011147512831720349,0.06920128422867022,0.0,ill_posed,SIO2=51.47; AL2O3=0.57; B2O3=2.87; CAO=2.59; K2O=5.32; NA2O=11.96; BAO=1.83; ZRO2=1.12; TIO2=20.47; RO=4.45,SIO2=37.96; B2O3=1.35; K2O=5.03; NA2O=22.40; BAO=0.66; P2O5=6.49; TIO2=24.33; RO=1.20,SIO2=50.92; B2O3=2.49; CAO=2.19; K2O=4.36; NA2O=12.66; ZRO2=1.05; TIO2=21.22; RO=4.52,SIO2=37.96; B2O3=1.35; K2O=5.03; NA2O=22.40; BAO=0.66; P2O5=6.49; TIO2=24.33; RO=1.20,16.828193392746723,4.614461741131588,,33.19004530052836,2.2967937584043034,0.3250829733914482,False,0.4,0.2,20,0
N-LAK12,best_neighbor_mode_b,1468700150794,0.04492412931203898,0.06000164396004905,0.0,ill_posed,SIO2=32.09; AL2O3=1.45; B2O3=27.24; BAO=33.58; RO=33.58,SIO2=22.08; AL2O3=0.98; B2O3=27.36; CAO=1.06; Li2O=0.55; BAO=22.73; ZRO2=0.54; RO=24.23,SIO2=21.47; AL2O3=0.86; B2O3=25.68; BAO=26.05; RO=25.74,SIO2=22.08; AL2O3=0.98; B2O3=27.36; CAO=1.06; Li2O=0.55; BAO=22.73; ZRO2=0.54; RO=24.23,5.798834351587778,0.9694918284452425,,65.23714919279854,3.9143361988348992,0.0,False,0.05,0.2,20,0
N-SF5,best_neighbor_mode_b,3691000439116,0.041132232124945246,0.07122343898858144,0.0,ill_posed,P2O5=67.00; FemOn=33.00,SIO2=44.05; B2O3=0.63; CAO=1.11; K2O=9.93; NA2O=3.61; BAO=1.06; P2O5=11.02; TIO2=21.89; RO=1.01; FemOn=5.43,SIO2=55.80; B2O3=0.99; NA2O=15.75; Li2O=0.95; TIO2=24.52; RO=1.13,SIO2=44.05; B2O3=0.63; CAO=1.11; K2O=9.93; NA2O=3.61; BAO=1.06; P2O5=11.02; TIO2=21.89; RO=1.01; FemOn=5.43,10.850842282572287,3.5242893560402933,,33.52131150503951,2.387503084796415,0.1985152433458726,True,0.75,0.6,20,0
SF5,best_neighbor_mode_b,326300110715,0.011579118860023658,0.04152874012442527,0.08108108108108109,ill_posed,SIO2=68.23; K2O=5.50; PBO=26.03; RO=26.03,SIO2=27.07; B2O3=7.88; K2O=3.25; NA2O=11.15; PBO=10.89; Li2O=3.21; BAO=6.61; ZNO=1.07; P2O5=8.44; TIO2=1.40; RO=18.80,SIO2=33.88; K2O=7.02; NA2O=1.01; PBO=13.08; TIO2=6.55; RO=37.29,SIO2=27.07; B2O3=7.88; K2O=3.25; NA2O=11.15; PBO=10.89; Li2O=3.21; BAO=6.61; ZNO=1.07; P2O5=8.44; TIO2=1.40; RO=18.80,30.809571592749002,6.002246344081965,,92.62500277272427,3.8465996691726363,0.7083465777061714,False,0.05,0.0,20,3
N-BAF10,best_neighbor_mode_b,3734500443091,0.02118613830123499,0.03322180720315522,0.0,ill_posed,SIO2=46.17; AL2O3=0.87; B2O3=11.04; CAO=6.62; PBO=2.37; BAO=22.24; ZNO=6.30; TIO2=4.20; RO=37.53,SIO2=28.13; B2O3=10.46; CAO=4.39; PBO=1.21; BAO=13.77; ZNO=9.83; TIO2=2.57; RO=29.12,SIO2=7.12; B2O3=18.65; SRO=0.91; ZNO=35.77; RO=36.79,SIO2=28.13; B2O3=10.46; CAO=4.39; PBO=1.21; BAO=13.77; ZNO=9.83; TIO2=2.57; RO=29.12,8.426005623034715,0.8996907768959986,,25.382185536212344,0.8432420742787615,0.0,False,0.0,0.0,20,0
N-BASF2,best_neighbor_mode_b,2752300358592,0.010019348162976624,0.07712342545492827,0.08108108108108109,ill_posed,SIO2=46.61; AL2O3=5.25; CAO=9.44; MgO=16.19; TIO2=1.93; RO=46.02; FemOn=20.22,SIO2=43.93; AL2O3=1.07; B2O3=8.98; CAO=0.89; NA2O=13.07; BAO=4.32; P2O5=15.94; ZRO2=6.34; RO=4.83,SIO2=59.99; AL2O3=0.58; B2O3=7.66; CAO=2.38; NA2O=15.04; MgO=1.52; BAO=0.70; ZRO2=6.09; TIO2=0.78; RO=4.44,SIO2=43.93; AL2O3=1.07; B2O3=8.98; CAO=0.89; NA2O=13.07; BAO=4.32; P2O5=15.94; ZRO2=6.34; RO=4.83,48.48398651214895,5.592812038758758,,86.42375996580857,6.665296409257651,1.376226604344546,False,0.1,0.2,20,3
N-SSK5,best_neighbor_mode_b,1747700368322,0.020041082282419364,0.07544775615509094,0.05263157894736842,ill_posed,SIO2=47.23; AL2O3=0.86; B2O3=13.92; CAO=5.66; BAO=21.84; ZNO=5.41; TIO2=3.42; RO=32.91,SIO2=29.42; AL2O3=1.45; B2O3=17.13; CAO=1.79; MgO=1.61; BAO=19.16; ZNO=0.67; ZRO2=2.75; TIO2=1.44; RO=24.22,SIO2=31.19; B2O3=17.83; CAO=1.68; BAO=15.87; ZNO=4.10; TIO2=2.11; RO=26.42,SIO2=29.42; AL2O3=1.45; B2O3=17.13; CAO=1.79; MgO=1.61; BAO=19.16; ZNO=0.67; ZRO2=2.75; TIO2=1.44; RO=24.22,26.377012810518377,3.922176775383797,,90.90431490862684,6.858526584671677,0.1985152433458726,False,0.05,0.2,20,2
N-KZFS5,best_neighbor_mode_b,3550300426528,0.008467795455321763,0.07687455595536997,0.02564102564102564,ill_posed,SIO2=50.89; B2O3=12.71; CAO=3.59; NA2O=14.93; ZNO=1.98; ZRO2=10.45; RO=5.57,SIO2=47.14; B2O3=11.14; CAO=2.12; K2O=0.63; NA2O=14.63; Li2O=0.85; ZNO=0.91; P2O5=7.03; ZRO2=6.90; RO=3.86; FemOn=3.46,SIO2=51.54; B2O3=13.28; CAO=1.62; K2O=1.21; NA2O=15.25; Li2O=0.86; ZNO=1.14; ZRO2=9.97; RO=4.57,SIO2=47.14; B2O3=11.14; CAO=2.12; K2O=0.63; NA2O=14.63; Li2O=0.85; ZNO=0.91; P2O5=7.03; ZRO2=6.90; RO=3.86; FemOn=3.46,10.24079383228473,3.224512835261839,,36.004143258810515,2.7678025255745857,0.9958213213455276,True,0.2,0.4,20,1
N-BAF51,best_neighbor_mode_b,2368300190665,0.01176197105514862,0.0533787874415846,0.02564102564102564,ill_posed,SIO2=48.01; B2O3=4.86; CAO=12.14; K2O=0.84; NA2O=8.57; BAO=12.33; ZNO=4.23; ZRO2=2.58; TIO2=6.20; RO=28.69,SIO2=20.11; AL2O3=3.55; CAO=7.40; NA2O=1.99; SRO=1.31; BAO=13.44; ZNO=2.70; P2O5=19.58; GEO2=3.67; ZRO2=1.17; TIO2=1.59; RO=22.79,SIO2=35.38; AL2O3=3.74; B2O3=1.12; CAO=9.82; K2O=0.68; NA2O=6.40; SRO=1.42; BAO=7.39; ZNO=2.59; ZRO2=2.08; TIO2=3.22; RO=25.83,SIO2=20.11; AL2O3=3.55; CAO=7.40; NA2O=1.99; SRO=1.31; BAO=13.44; ZNO=2.70; P2O5=19.58; GEO2=3.67; ZRO2=1.17; TIO2=1.59; RO=22.79,76.70179905477569,14.85239395671058,,111.74567973899993,5.964848886303463,0.7083465777061714,False,0.0,0.0,20,1
N-LAK7,best_neighbor_mode_b,368600010559,0.03533780037209765,0.053556799653739086,0.0,ill_posed,SIO2=7.90; B2O3=51.50; BAO=40.60; RO=40.60,SIO2=18.22; AL2O3=0.69; B2O3=31.08; BAO=24.72; RO=25.29,SIO2=23.82; AL2O3=0.51; B2O3=21.08; BAO=27.13; RO=27.46,SIO2=18.22; AL2O3=0.69; B2O3=31.08; BAO=24.72; RO=25.29,8.576278649964973,2.2141845785600074,,20.77568150824081,1.1126790122067451,0.0,False,0.0,0.0,20,0
