glass_name,composition_source,matched_sciglass_id,distance_first,distance_mean_top20,jaccard_mode_a_b,jaccard_label,predicted_composition,composition_pls,composition_xgb,composition_gpr,local_pls_cv_mse,local_xgb_cv_mse,local_gpr_cv_mse,composition_variance_neighbors,uncertainty_score,family_entropy,best_neighbor_plausible,plausible_ratio_top20,plausible_ratio_top5,n_neighbors_used,stable_neighbor_count
SF57,best_neighbor_mode_b,190500000726,0.01394635641523577,0.04164271295030466,0.08108108108108109,ill_posed,SIO2=55.93; PBO=44.07; RO=44.07,SIO2=36.73; B2O3=0.53; NA2O=0.82; PBO=29.71; BAO=0.56; ZRO2=0.55; RO=30.32,SIO2=36.63; B2O3=0.51; K2O=0.87; NA2O=0.77; PBO=29.64; RO=30.19,SIO2=36.73; B2O3=0.53; NA2O=0.82; PBO=29.71; BAO=0.56; ZRO2=0.55; RO=30.32,2.664732440107069,0.6193252617649274,,73.25173541335035,3.050400990929815,0.6730116670092565,False,0.15,0.0,20,3
SF57HTultra,best_neighbor_mode_b,190500000726,0.01394635641523577,0.04164271295030466,0.08108108108108109,ill_posed,SIO2=55.93; PBO=44.07; RO=44.07,SIO2=36.73; B2O3=0.53; NA2O=0.82; PBO=29.71; BAO=0.56; ZRO2=0.55; RO=30.32,SIO2=36.63; B2O3=0.51; K2O=0.87; NA2O=0.77; PBO=29.64; RO=30.19,SIO2=36.73; B2O3=0.53; NA2O=0.82; PBO=29.71; BAO=0.56; ZRO2=0.55; RO=30.32,2.664732440107069,0.6193252617649274,,73.25173541335035,3.050400990929815,0.6730116670092565,False,0.15,0.0,20,3
N-LASF41,best_neighbor_mode_b,2756100361833,0.02053765862055273,0.04978819539141098,0.2903225806451613,ill_posed,SIO2=2.40; B2O3=54.09; ZNO=6.82; ZRO2=8.66; RO=6.82,SIO2=7.89; B2O3=61.13; BAO=3.70; ZNO=7.92; ZRO2=5.90; TIO2=1.85; RO=11.61,SIO2=0.78; B2O3=78.54; ZNO=6.47; ZRO2=3.39; RO=10.18,SIO2=7.89; B2O3=61.13; BAO=3.70; ZNO=7.92; ZRO2=5.90; TIO2=1.85; RO=11.61,11.67822101160122,2.5895114374525074,,14.584327069930103,0.7261273258099243,0.5004024235381879,False,0.05,0.0,20,9
N-LASF40,best_neighbor_mode_b,3735700443246,0.03463681079440785,0.06287999662549079,0.05263157894736842,ill_posed,B2O3=43.00; ZNO=24.00; TIO2=10.00; RO=24.00,SIO2=4.43; B2O3=42.43; CAO=1.98; Li2O=1.59; ZNO=19.86; GEO2=0.58; ZRO2=3.89; TIO2=2.02; RO=22.94,SIO2=2.48; B2O3=41.56; CAO=1.30; ZNO=22.89; GEO2=0.92; ZRO2=1.70; TIO2=3.22; RO=25.27,SIO2=4.43; B2O3=42.43; CAO=1.98; Li2O=1.59; ZNO=19.86; GEO2=0.58; ZRO2=3.89; TIO2=2.02; RO=22.94,8.477719564243873,1.1886468591889823,,15.620919617935556,0.9822433728628507,0.1985152433458726,True,0.25,0.6,20,2
SF6G05,best_neighbor_mode_b,326300110721,0.01214539985331221,0.05895843992076653,0.08108108108108109,ill_posed,SIO2=57.24; K2O=1.34; NA2O=1.02; PBO=40.07; RO=40.07,SIO2=30.70; B2O3=9.27; CAO=0.52; K2O=2.59; NA2O=2.97; PBO=20.42; Li2O=2.54; BAO=2.06; ZNO=0.70; P2O5=3.10; TIO2=0.75; RO=23.92,SIO2=38.25; B2O3=3.45; K2O=2.55; PBO=26.26; BAO=1.58; RO=27.12,SIO2=30.70; B2O3=9.27; CAO=0.52; K2O=2.59; NA2O=2.97; PBO=20.42; Li2O=2.54; BAO=2.06; ZNO=0.70; P2O5=3.10; TIO2=0.75; RO=23.92,26.48964844908981,3.421768762161736,,109.3172671354262,6.445175526706411,0.8451132568429528,False,0.0,0.0,20,3
N-LASF43,best_neighbor_mode_b,508400061790,0.018638895396664037,0.09006842030688782,0.0,ill_posed,SIO2=22.91; B2O3=19.77; CAO=22.59; BAO=2.14; ZNO=11.00; ZRO2=5.14; RO=35.74,SIO2=12.48; B2O3=28.00; CAO=16.19; Li2O=0.87; MgO=0.63; ZNO=9.10; ZRO2=4.32; RO=26.86,SIO2=17.11; B2O3=17.86; CAO=21.93; BAO=2.14; ZNO=9.99; P2O5=1.35; ZRO2=4.18; RO=24.98,SIO2=12.48; B2O3=28.00; CAO=16.19; Li2O=0.87; MgO=0.63; ZNO=9.10; ZRO2=4.32; RO=26.86,13.064873639430749,2.936775540696486,,43.131851534558365,3.8848177326288873,0.0,False,0.2,0.2,20,0
P-LASF47,best_neighbor_mode_b,3137100403552,0.005348329583032153,0.017189168931129324,0.17647058823529413,ill_posed,SIO2=11.58; B2O3=30.90; Li2O=7.50; ZNO=28.23; ZRO2=3.36; RO=28.23,SIO2=5.86; B2O3=30.51; Li2O=5.70; ZNO=27.37; ZRO2=2.61; RO=27.37,SIO2=7.04; B2O3=29.79; Li2O=6.05; ZNO=26.99; ZRO2=3.02; RO=26.99,SIO2=5.86; B2O3=30.51; Li2O=5.70; ZNO=27.37; ZRO2=2.61; RO=27.37,1.062291668767379,0.3660553999492285,,1.8520205302480117,0.03183469375835278,0.0,False,0.0,0.0,20,6
N-SF6,best_neighbor_mode_b,3548300426188,0.014740970147822658,0.05007017586550826,0.02564102564102564,ill_posed,SIO2=31.76; B2O3=18.20; CAO=2.72; K2O=4.05; NA2O=8.62; P2O5=1.83; ZRO2=1.86; TIO2=28.67; RO=2.72,SIO2=28.70; B2O3=9.04; CAO=6.07; K2O=7.32; NA2O=10.36; BAO=5.11; GEO2=1.03; ZRO2=1.99; TIO2=17.81; RO=11.86,SIO2=33.85; B2O3=1.48; K2O=6.26; NA2O=17.93; Li2O=2.08; SRO=0.76; BAO=1.81; P2O5=1.09; GEO2=1.23; TIO2=30.27; RO=2.71,SIO2=28.70; B2O3=9.04; CAO=6.07; K2O=7.32; NA2O=10.36; BAO=5.11; GEO2=1.03; ZRO2=1.99; TIO2=17.81; RO=11.86,14.955625743821201,6.293822230465753,,20.68495263269087,1.0356992160885399,0.0,True,0.2,0.4,20,1
N-SF6HT,best_neighbor_mode_b,3548300426188,0.014740970147822658,0.05007017586550826,0.02564102564102564,ill_posed,SIO2=31.76; B2O3=18.20; CAO=2.72; K2O=4.05; NA2O=8.62; P2O5=1.83; ZRO2=1.86; TIO2=28.67; RO=2.72,SIO2=28.70; B2O3=9.04; CAO=6.07; K2O=7.32; NA2O=10.36; BAO=5.11; GEO2=1.03; ZRO2=1.99; TIO2=17.81; RO=11.86,SIO2=33.85; B2O3=1.48; K2O=6.26; NA2O=17.93; Li2O=2.08; SRO=0.76; BAO=1.81; P2O5=1.09; GEO2=1.23; TIO2=30.27; RO=2.71,SIO2=28.70; B2O3=9.04; CAO=6.07; K2O=7.32; NA2O=10.36; BAO=5.11; GEO2=1.03; ZRO2=1.99; TIO2=17.81; RO=11.86,14.955625743821201,6.293822230465753,,20.68495263269087,1.0356992160885399,0.0,True,0.2,0.4,20,1
N-SF6HTultra,best_neighbor_mode_b,3548300426188,0.014740970147822658,0.05007017586550826,0.02564102564102564,ill_posed,SIO2=31.76; B2O3=18.20; CAO=2.72; K2O=4.05; NA2O=8.62; P2O5=1.83; ZRO2=1.86; TIO2=28.67; RO=2.72,SIO2=28.70; B2O3=9.04; CAO=6.07; K2O=7.32; NA2O=10.36; BAO=5.11; GEO2=1.03; ZRO2=1.99; TIO2=17.81; RO=11.86,SIO2=33.85; B2O3=1.48; K2O=6.26; NA2O=17.93; Li2O=2.08; SRO=0.76; BAO=1.81; P2O5=1.09; GEO2=1.23; TIO2=30.27; RO=2.71,SIO2=28.70; B2O3=9.04; CAO=6.07; K2O=7.32; NA2O=10.36; BAO=5.11; GEO2=1.03; ZRO2=1.99; TIO2=17.81; RO=11.86,14.955625743821201,6.293822230465753,,20.68495263269087,1.0356992160885399,0.0,True,0.2,0.4,20,1
