glass_name,property_mode,rank,sciglass_id,distance,primary_plausible,in_mode_a_top20,in_stable_set
N-LASF46B,B,9,3602100431309,0.04320857161145949,False,False,False
N-LASF46B,B,10,3482000409547,0.04320857161145949,False,False,False
N-LASF46B,B,11,4243800495172,0.043951087238325304,False,False,False
N-LASF46B,B,12,3838100455537,0.04514483018377852,False,False,False
N-LASF46B,B,13,4243800495181,0.04577030041827232,False,False,False
N-LASF46B,B,14,4243800495173,0.04881631900694579,False,False,False
N-LASF46B,B,15,3735700443273,0.05031533826868501,False,False,False
N-LASF46B,B,16,3735700443268,0.05203265875743349,False,False,False
N-LASF46B,B,17,3770100445792,0.05312424150943602,False,False,False
N-LASF46B,B,18,4243800495175,0.05597516078703758,False,False,False
N-LASF46B,B,19,1246400113262,0.05664424434287136,False,False,False
N-LASF46B,B,20,3735700443266,0.05799196566808893,False,False,False
N-LASF31A,B,1,3606900432490,0.009154409954423863,False,False,False
N-LASF31A,B,2,3140700403781,0.012808202448375425,False,False,False
N-LASF31A,B,3,3140700403806,0.01980260026671802,False,False,False
N-LASF31A,B,4,3140700403776,0.020110374391382364,False,False,False
N-LASF31A,B,5,3606900432495,0.020141694664706424,False,False,False
N-LASF31A,B,6,3863800458121,0.02504845887373317,False,False,False
N-LASF31A,B,7,3606900432487,0.025703976222122,False,False,False
N-LASF31A,B,8,3863800458120,0.0308463372058623,False,False,False
N-LASF31A,B,9,3140700403816,0.03270518835968115,False,False,False
N-LASF31A,B,10,2830500363239,0.03270518835968115,False,False,False
N-LASF31A,B,11,3920400463354,0.03270518835968115,False,False,False
N-LASF31A,B,12,3606900432483,0.03590912543272034,False,False,False
N-LASF31A,B,13,3606900432493,0.03977953977683305,False,False,False
N-LASF31A,B,14,3606900432489,0.04505405803922979,False,False,False
N-LASF31A,B,15,3863800458113,0.04626837767463087,False,False,False
N-LASF31A,B,16,3863800458119,0.046295483546763466,False,False,False
N-LASF31A,B,17,3863800458126,0.04874793431828819,False,False,False
N-LASF31A,B,18,3863800458124,0.050149788522906684,False,False,False
N-LASF31A,B,19,3863800458111,0.051602453583569435,False,False,False
N-LASF31A,B,20,3863800458123,0.05470416159738302,False,False,False
N-LASF9,B,1,3462100408878,0.07599033403572136,False,False,False
N-LASF9,B,2,1344100130027,0.10425566740184625,True,False,False
N-LASF9,B,3,1246400113261,0.10802938812888219,False,False,False
N-LASF9,B,4,1344100130024,0.11073867049449111,True,False,False
N-LASF9,B,5,1344100130026,0.11463666525079165,False,False,False
N-LASF9,B,6,1344100130025,0.11855414112249746,True,False,False
N-LASF9,B,7,3396800415347,0.13581946075053006,False,False,False
N-LASF9,B,8,4169400486915,0.1512987759576502,False,False,False
N-LASF9,B,9,2823300362618,0.1518564951580183,True,False,False
N-LASF9,B,10,3396800415344,0.15607230675094969,False,False,False
N-LASF9,B,11,3306100407524,0.15679905094173227,True,False,False
N-LASF9,B,12,1246400113262,0.1568669718867264,False,False,False
N-LASF9,B,13,4480700610284,0.16175344609210718,False,False,False
N-LASF9,B,14,1417400130760,0.16305494150383623,False,False,False
N-LASF9,B,15,4289300498270,0.16438721051300492,False,False,False
N-LASF9,B,16,268800110697,0.16853763580907682,False,False,False
N-LASF9,B,17,3136800403511,0.17555405500154117,False,False,False
N-LASF9,B,18,3136800403504,0.17639085326044693,False,False,False
N-LASF9,B,19,1417400130761,0.17797096149224081,False,False,False
N-LASF9,B,20,2823300362620,0.1782153999960895,False,False,False
