glass_name,jaccard_top20,jaccard_label,n_intersection,n_union,n_mode_a,n_mode_b,stable_neighbor_count
N-KF9,0.0,ill_posed,0,40,20,20,0
K5G20,0.0,ill_posed,0,40,20,20,0
N-K5,0.02564102564102564,ill_posed,1,39,20,20,1
BK7G18,0.0,ill_posed,0,40,20,20,0
N-BK7,0.0,ill_posed,0,40,20,20,0
N-BK7HT,0.0,ill_posed,0,40,20,20,0
N-BK7HTi,0.0,ill_posed,0,40,20,20,0
N-BK7HTSultra,0.0,ill_posed,0,40,20,20,0
N-ZK7A,0.0,ill_posed,0,40,20,20,0
K10,0.0,ill_posed,0,40,20,20,0
N-BK10,0.0,ill_posed,0,40,20,20,0
N-PK52A,0.0,ill_posed,0,40,20,20,0
N-FK5,0.0,ill_posed,0,40,20,20,0
FK5HTi,0.0,ill_posed,0,40,20,20,0
N-FK51A,0.02564102564102564,ill_posed,1,39,20,20,1
N-FK58,0.05263157894736842,ill_posed,2,38,20,20,2
