r2,rmse,mae,target,model,n_train
0.6841508006087686,0.12130654266635477,0.038503160144269535,ND300,xgboost,50779
0.6817098304402535,0.1217743857950758,0.039793020313430606,ND300,lightgbm,50779
0.6661969779470969,0.12470660812211325,0.04527562273607946,ND300,catboost,50779
0.9042237844016883,5.399040341653992,2.015255190523125,NUD300,xgboost,24547
0.8997008610950643,5.525051600231421,2.0782037954695514,NUD300,lightgbm,24547
0.8863513784350764,5.881252459980085,2.5157054399481846,NUD300,catboost,24547
-3.3634126536275994,2.6118690265202975,0.3000476067623937,DENSITY,xgboost,79706
-6.543700880388818,3.434238729704058,0.5057234746539196,DENSITY,lightgbm,79706
0.2000746957473727,1.1183119597019313,0.3423651642717111,DENSITY,catboost,79706
0.8063103884005245,83.06143180104868,47.424530269765484,TG,xgboost,74430
0.803050968624569,83.75739732358556,48.44747967447467,TG,lightgbm,74430
0.7838714691070294,87.74094340741587,53.925549569827666,TG,catboost,74430
