composition,oxide_SIO2,oxide_AL2O3,oxide_B2O3,oxide_CAO,oxide_K2O,oxide_NA2O,oxide_PBO,oxide_Li2O,oxide_MgO,oxide_SRO,oxide_BAO,oxide_ZNO,oxide_P2O5,oxide_GEO2,oxide_ZRO2,oxide_TIO2,oxide_TEO2,oxide_Bi2O3,oxide_WO3,oxide_RO,oxide_FemOn,oxide_R2O3,oxide_R2O5,oxide_RO2,ND300_pred,NUD300_pred,DENSITY_pred,TG_pred,PbO,glass_family,pareto_rank,distance_to_training,feasible,anomaly_oxide
BAO=0.88; GEO2=5.39; MgO=0.61; R2O3=9.92; R2O5=70.74; RO2=1.38; SIO2=10.04,10.042664018234621,0.009839089135997176,0.16227846684839614,0.010156463564208863,0.07026161740733737,0.005246151436099553,0.0,0.0018686975085265285,0.613500308928134,0.38943505399730916,0.8818318392598955,0.028093512162078088,0.007075828521741836,5.385930590178668,0.16677399305842866,0.10676117514401026,1.5226108023861094e-07,0.010781457311959133,0.012045458911460218,0.062389096067447636,1.2492128914150476e-05,9.917159922289704,70.73820360817169,1.377691007472296,2.2633869647979736,28.832380294799805,3.7580801212013992,489.68438720703125,0.0,uncertain,48,0.7341542116590212,False,True
BAO=1.25; GEO2=5.38; R2O3=9.91; R2O5=72.15; SIO2=10.04,10.040464588914764,0.009605297284781742,0.028883769931006793,0.01008843891716598,0.00583841748638437,0.02671902719630942,0.0,0.0018682882477882685,0.0055344037387097585,0.38846627880841533,1.2524809684592009,0.028087359442616915,0.007078496074857066,5.384751025310894,0.006430080348311903,0.10673779353347268,1.5948663791191873e-07,0.00026217239357756536,0.012042820852927853,0.062375432321764124,0.05750165070134859,9.914987979440358,72.15282189964152,0.49697365146717276,2.2567429542541504,27.437265396118164,3.622112379590689,472.8728332519531,0.0,uncertain,49,0.7305949174446984,False,True
BAO=1.17; GEO2=0.58; MgO=0.62; R2O3=1.15; R2O5=70.24; SIO2=8.74; TIO2=0.63; ZRO2=15.57,8.744209687096237,0.017690532099800805,0.3211001555098532,0.1253648010771876,0.012601509978076473,0.023155000178481516,0.0,0.02512304370389408,0.6218795821315141,0.19263531382705237,1.1741323732191302,0.2849262767155041,0.008229659037530822,0.5768986727239709,15.56574239666687,0.6302255212530027,0.012206190871586267,0.011674427624314126,0.041750759397687146,0.08949808016511177,0.0030207728584269143,1.1522077324148363,70.23507655535394,0.130650956095995,2.250720977783203,31.973499298095703,3.998812431065941,563.6419067382812,0.0,lanthanum,50,4.041071915162885,False,True
B2O3=1.13; BAO=1.09; CAO=1.27; R2O3=10.41; R2O5=71.33; RO2=1.42; SIO2=12.20,12.201347905188134,0.053568323316295095,1.1346069664205218,1.2661100515517023,0.11664309523799152,0.02941654381489523,0.0,0.003969784785797142,2.509786610440093e-05,0.10030505963889982,1.0924347720693088,0.2929417034071464,0.0525136077867499,0.19579120638293043,0.06068320857716365,0.15224205609854394,2.7166250700176065e-06,0.00028674259681007465,0.013406496578958652,0.06550173561653715,0.004584683248073312,10.411934588609489,71.32784776467285,1.4238358899100159,2.243429660797119,25.197433471679688,3.6599566260541443,494.2070007324219,0.0,uncertain,51,0.572443402104717,False,True
B2O3=1.45; BAO=1.02; R2O3=2.58; R2O5=71.90; SIO2=18.56; SRO=0.54; TIO2=2.99,18.56465830125471,0.02916601318597687,1.4531153307090954,0.015346220202658195,0.2312199865507918,0.01872194294434821,0.0,0.1598941530041439,0.011979119493388903,0.5350701350988032,1.0160269986077637,0.06595178884820062,0.011892509927316353,0.000201328988989944,0.12268370545250244,2.9934844462066144,3.543660803493223e-06,0.00025072109536773116,0.011327680116572923,0.07937872637574121,0.031544759818878804,2.5782525702279715,71.90404890816924,0.1657811100601355,2.22420072555542,23.18917465209961,3.3828889804072406,554.2410888671875,0.0,uncertain,52,0.7397530106268241,False,True
B2O3=1.45; BAO=1.02; R2O3=2.58; R2O5=71.66; SIO2=18.56; SRO=0.58; TIO2=2.81,18.561583973441767,0.02916118326214659,1.4528746932136931,0.015343678851730696,0.21160939334166676,0.01871884257002555,0.0,0.15881373661191245,0.3960892740370395,0.5780846786964804,1.0158587434204163,0.06594086715950162,0.011890540514605278,0.0002012956486881534,0.12266338889607856,2.814808027049597,3.5173317279374776e-06,0.013552914044351114,0.011325804240299126,0.08140456448622412,0.03322463510238297,2.5800775483320133,71.66105381618667,0.1657148835609979,2.222698211669922,23.911386489868164,3.344199453594796,546.5752563476562,0.0,uncertain,53,0.773087566681295,False,True
BAO=2.23; R2O3=1.22; R2O5=64.24; SIO2=14.59; SRO=0.66; ZRO2=15.26,14.59281343017016,0.21818779639702512,0.1420057581036658,0.007798914667813062,0.23476667756472305,0.015295038508874488,0.0,0.015430485193325507,0.12349722327102482,0.6577364747451224,2.2327004302349818,0.27176209472566315,0.007442737977465394,0.016129352111499667,15.260467376579006,0.382024755592162,0.011657730664358792,0.008780471611025376,0.009052038939101253,0.08091309873012902,0.13719270648755713,1.2192348944541118,64.2392081461826,0.1159023670886069,2.209449529647827,29.0249080657959,4.059313018405623,575.7572631835938,0.0,lanthanum,54,3.8819595803586577,False,True
B2O3=1.27; BAO=2.16; MgO=0.53; R2O3=0.70; R2O5=70.95; SIO2=19.82; SRO=0.77; TIO2=1.49; ZRO2=1.58,19.820203632133673,0.0043489579473302625,1.26987837290471,0.013561423455159939,0.43971266668754755,0.03278095505150182,0.0,0.019596855995223348,0.5301640937532749,0.7701780978447527,2.155187544309541,0.018577951916854647,0.002181694227439999,0.013718278096203492,1.5842807984203364,1.4880807457138958,0.023650333009821334,0.00044813411546369534,0.016402210323279404,4.558811927026358e-05,0.007899505807343886,0.6951309691219636,70.95019391753051,0.143777273514909,2.208531618118286,24.85879135131836,3.239268286995407,542.7520751953125,0.0,uncertain,55,0.9935612708565988,False,True
BAO=2.67; R2O3=1.56; R2O5=81.73; SIO2=10.21; SRO=0.84; TIO2=0.74; ZRO2=0.61,10.214294313686349,0.2776050863817544,0.18067701950360845,0.009922729024232883,0.29869875804750096,0.019460210683562566,0.0,0.019632542450774365,0.00717885270622065,0.8368524450185053,2.672936187123729,0.34576883321340895,0.00959912044797853,0.020521726054957525,0.6062119374375997,0.735098581886415,0.014237369477038166,0.011141878671961574,0.011517106332783281,0.10294749813376428,0.17003067330978336,1.5552581059023085,81.73294391802962,0.14746510647614391,2.197924852371216,26.141788482666016,3.385866469239195,478.17926025390625,0.0,uncertain,56,0.7927338239918376,False,True
BAO=2.68; R2O3=1.57; R2O5=81.80; SIO2=10.25; SRO=0.84; TIO2=0.74; ZRO2=0.61,10.246854116766906,0.15342768939908058,0.18125295828073348,0.1677366490476652,0.29846276910552777,0.051961958486675106,0.0,0.017728253579021813,0.04533326398140593,0.8395200547407724,2.68145662654195,0.34432938401053603,0.009629719279570249,0.001595320267728717,0.6081443412534565,0.7374418338366695,0.014012932121082662,0.011177395308193647,0.011553819071102443,0.10325332762287263,0.08965738265257259,1.5660967684006928,81.80239362562008,0.016979810625703393,2.1884593963623047,26.943920135498047,3.3129393243179392,488.02972412109375,0.0,uncertain,57,0.7890901737889513,False,True
